cust_no,C1,C2
0xb2d5d500,5.34,1
0xb2d5b070,15494.87,1
0xb2d433fa,0.76,1
0xb2d34de1,0.0,1
0xb2d7559f,0.0,1
0xb2d0b02d,1.0,1
0xb2d611e4,296.72,1
0xb2d0b027,216906.55,4
0xb2d5b064,790000.89,6
0xb2d83baf,204724.63,2
0xb2d49196,7.83,1
0xb2d6bb01,33498.13,3
0xb2d6bb04,4985.22,1
0xb2d34df3,15717.85,1
0xb2d4ef26,140092.02,3
0xb2d0b01b,98.04,3
0xb2d4ceaa,0.0,1
0xb2d5b076,14.83,1
0xb2d611d2,2309000.0,15
0xb2d6968f,12.17,1
0xb2d0e930,5.12,2
0xb2d5b046,50983.41,5
0xb2d8fadd,50000.0,1
0xb2d49154,453711.35,5
0xb2d51977,13.48,1
0xb2d1a834,8.92,1
0xb2d22cfa,79.82,1
0xb2d5b040,1100060.24,4
0xb2d552b3,0.0,1
0xb2d1a83d,0.16,1
0xb2d22cee,1.09,1
0xb2d1a843,180000.33,3
0xb2d5b037,672.2,1
0xb2d552b9,8881.58,1
0xb2d69698,605175.03,4
0xb2d5b05b,0.15,1
0xb2d57725,20.06,1
0xb2d22d12,0.0,1
0xb2d4eede,0.05,1
0xb2d14aa4,32025999.69,11
0xb2d1a822,2.18,1
0xb2d22d0c,1760.19,1
0xb2d8fad1,100.0,1
0xb2d8fad7,300.0,1
0xb2d49160,1922578.75,4
0xb2d4eeed,877.71,1
0xb2d146cf,0.93,2
0xb2d28e9b,0.0,1
0xb2d55277,120264.26,2
0xb2d6969e,172897.82,6
0xb2d83b85,4.64,1
0xb2d1468a,8.24,1
0xb2d1a819,0.42,1
0xb2d4f4ed,211677.1,2
0xb2d1a81c,300124.89,2
0xb2d5528f,41.32,1
0xb2d146a5,0.0,1
0xb2d5195f,27.72,1
0xb2d146a8,0.2,1
0xb2d5b02e,8.12,1
0xb2d4f4fc,404910.69,3
0xb2d696b6,3.6,1
0xb2d83b79,500000.0,2
0xb2d22d33,67.31,3
0xb2d696b0,121707.17,2
0xb2d28e92,30736.29,1
0xb2d55295,0.75,1
0xb2d5b01f,30049.28,1
0xb2d3d256,2.09,1
0xb2d2ec52,63956.98,1
0xb2d2ec4c,1.13,1
0xb2d3d247,300064.36,4
0xb2d55271,9564.59,1
0xb2d28ebc,67.99,1
0xb2d34dff,57623.15,1
0xb2d40ef2,216373.17,7
0xb2d37493,3174773.31,5
0xb2d1a85b,0.64,1
0xb2d40efb,1956041.01,17
0xb2d2ec8b,9199.08,1
0xb2d1a86a,93.0,2
0xb2d14ab3,450.03,1
0xb2d3d22c,11.51,1
0xb2d2ec88,102000.0,2
0xb2d3749c,301126.71,2
0xb2d40f07,61381.04,2
0xb2d2ec79,613642.18,3
0xb2d28ed7,250013.78,6
0xb2d28eda,12.85,1
0xb2d40f0a,410301.41,3
0xb2d3d20e,11.91,1
0xb2d63668,219.08,1
0xb2d2ec70,81.76,1
0xb2d37481,30.2,1
0xb2d3d27a,700385.99,3
0xb2d374e1,10.07,1
0x3b9b2541,1.0,1
0xb2d34e38,0.0,1
0xb2d3d271,21.47,1
0xb2d6962c,353584.89,5
0xb2d63743,435144.7,5
0x3b9b2538,207.13,1
0xb2d374e7,0.67,1
0xb2d3d265,240017.74,3
0xb2d6373a,99.12,1
0xb2d374c3,18917.51,1
0xb2d3d268,26.65,1
0xb2d6373d,500011.31,3
0xb2d63737,900035.55,5
0xb2d4f577,269276.38,1
0xb2d6372e,70000.0,4
0xb2d374d2,2900.06,1
0x3b9b250e,176.18,2
0xb2d4341e,526.51,1
0xb2d34e0e,216.54,1
0xb2d6371c,0.0,1
0xb2d63716,135.19,1
0xb2d63719,250002.64,2
0xb2d34e14,423.96,21
0xb2d34e1d,47.48,1
0xb2d5d596,200000.42,2
0xb2d4343f,1141.33,1
0xb2d0e8c4,0.01,1
0xb2d4344e,136.14,1
0xb2d1466c,15.34,1
0xb2d4344b,0.11,1
0xb2d5d581,2.11,1
0xb2d695db,100003.17,2
0xb2d695de,4.18,1
0xb2d08b19,407380.73,9
0xb2d5d58a,530442.72,6
0xb2d636e0,900075.85,1
0xb2d14a59,1.39,2
0xb2d61283,99.4,1
0xb2d5d56c,400013.52,2
0xb2d695f3,0.07,2
0xb2d0e8e5,885.72,2
0xb2d0e8e2,8.6,2
0xb2d43469,50095.23,2
0xb2d08b01,0.0,1
0xb2d6960b,1217524.71,2
0xb2d22d48,486.3,1
0xb2d6f77f,44.83,1
0xb2d69605,1384000.01,13
0xb2d6f782,40.0,1
0xb2d5d569,0.0,1
0xb2d5d548,2881.11,1
0xb2d22d51,0.06,1
0xb2d6123e,760045.05,3
0xb2d5b0be,170443.58,3
0xb2d519ef,18.29,1
0xb2d5b0b8,16671.73,1
0xb2d1a7bf,61713.93,1
0xb2d83b34,2.54,1
0xb2d6123b,172068.68,3
0xb2d61235,101006.16,2
0xb2d5777f,100097.56,3
0xb2d14639,827806.43,6
0xb2d1463f,49.96,2
0xb2d28ef2,8.96,1
0xb2d8fa50,1.0,1
0xb2d5b0d3,133687.08,10
0xb2d5779d,110816.26,3
0xb2d4ef53,321000.0,5
0xb2d6122c,646038.3,7
0xb2d577a6,51704.84,5
0xb2d519fe,420129.97,5
0xb2d1f457,420000.0,2
0xb2d57794,0.28,1
0xb2d22d7b,0.48,1
0xb2d14a26,130000.0,4
0xb2d22d81,38.77,1
0xb2d5b0c4,55001.16,2
0xb2d69632,110.48,1
0xb2d2ecb8,0.71,1
0xb2d69635,18.39,1
0xb2d25208,1971126.36,7
0xb2d1461b,3170.67,1
0xb2d14615,692161.3,15
0xb2d22d9c,300204.69,2
0xb2d515e7,140916.31,5
0xb2d4f55f,3016.04,1
0xb2d5b08b,0.0,1
0xb2d1460f,445139.48,5
0xb2d519c5,409.49,1
0xb2d28f22,2059.88,1
0xb2d28f19,2.26,1
0xb2d5b085,100.78,1
0xb2d8fa9e,2000000.0,2
0xb2d22d90,20.22,1
0xb2d5b0a9,475138.93,5
0xb2d1f478,1.0,1
0xb2d2521a,14244.18,1
0xb2d25217,310792.74,2
0xb2d1f475,1.0,1
0xb2d0e891,232020.92,7
0xb2d515ff,113770.24,4
0xb2d515f9,0.0,2
0xb2d14a08,163.03,1
0xb2d55304,0.0,2
0xb2d6963b,380.13,1
0xb2d5b0a0,10000.53,2
0xb2d1f484,0.0,1
0xb2d6963e,4.79,1
0xb2d0e89d,107.64,1
0xb2d28f0a,46.66,1
0xb2d14a02,1100000.7,9
0xb2d69638,87010.96,4
0xb2d22da2,32.61,1
0xb2d149fc,43.2,1
0xb2d4f529,0.08,1
0xb2d2522c,230.9,1
0xb2d2ece2,11.75,1
0xb2d28f3d,39.77,2
0xb2d1a810,2.48,1
0xb2d28f46,27.94,1
0xb2d2b3af,6.49,1
0xb2d34e68,0.4,1
0xb2d2b3a9,808028.62,7
0xb2d34e62,0.99,1
0xb2d25241,1010.06,1
0xb2d2eccd,7.78,1
0xb2d25244,95.97,1
0xb2d515d2,103382.55,3
0xb2d1a7f8,2023.69,2
0xb2d4f54a,78.28,1
0xb2d4f54d,0.19,1
0xb2d75587,104.74,1
0xb2d28f37,502.64,1
0xb2d519b9,3.22,1
0xb2d552e6,0.47,1
0xb2d31175,56.27,1
0xb2d14a47,0.0,1
0xb2d8d5c9,1434.0,1
0xb2d3d2a7,34.28,1
0xb2d2b3cd,3287.47,1
0xb2d2b3dc,1900953.49,6
0xb2d4f50b,180015.91,4
0xb2d4f511,1124.7,2
0x3b9b255c,375096.86,3
0xb2d14669,66.84,1
0xb2d1a7f2,61.31,1
0xb2d8d5c3,500000.0,4
0xb2d2b3d6,138502.97,4
0xb2d14a3e,10.57,1
0xb2d2b3be,1.3,1
0xb2d4f51a,0.0,1
0xb2d2ecf1,188.32,1
0x3b9b2556,11.82,1
0xb2d28f4f,202528.43,2
0xb2d2ecfa,70196.15,5
0x3b9b2559,42.67,2
0xb2d374f3,0.07,1
0xb2d1a7ce,1.14,1
0xb2d2b3bb,8.51,1
0xb2d3d292,51003.56,2
0xb2d1a7d4,55.68,1
0x3b9b254a,154017.65,5
0xb2d81635,388001.39,6
0xb2d28db4,4496.66,1
0xb2d40e29,203614.17,2
0xb2d28db7,6.73,1
0xb2d08c39,1.0,1
0xb2d3aca3,0.66,1
0x3b9b24bd,94.5,2
0xb2d6f737,75001.05,3
0xb2d0e9e4,447045.67,3
0xb2d08c2d,1.0,1
0xb2d08c33,2.91,5
0xb2d3ac91,76.36,1
0xb2d34cdc,469.21,1
0xb2d28d99,5.17,1
0xb2d2eb3e,52.99,1
0xb2d34ce2,3.0,1
0xb2d6f71f,1.96,1
0xb2d0e9ff,684030.31,4
0x3b9b24a8,3571888.16,15
0xb2d695c6,46.29,1
0xb2d40e4a,3181.99,1
0xb2d0e9f6,870025.61,7
0xb2d28da5,1.42,1
0xb2d2eb35,0.3,1
0xb2d08c1e,23398.84,3
0xb2d34cee,1561.41,1
0xb2d3ac7c,0.2,1
0xb2d32840,17286.64,1
0xb2d08c69,40000.84,2
0xb2d6f770,813413.57,3
0xb2d6114b,310600.73,3
0xb2d61145,70610.21,5
0xb2d32849,0.11,1
0xb2d32843,8272.84,1
0xb2d2eb77,11.28,1
0xb2d6114e,6.03,1
0xb2d6f764,2080.32,1
0xb2d6f755,2.13,1
0xb2d32852,0.0,1
0xb2d40e62,208831.99,3
0xb2d61133,1122.65,1
0xb2d1cdf3,0.05,1
0xb2d40e71,26.38,1
0xb2d61139,99.2,1
0xb2d6f74f,1521.81,1
0xb2d69569,400.22,1
0xb2d83af2,38.61,1
0xb2d61127,60008.91,3
0xb2d147ce,1.0,1
0xb2d147d4,5233.91,1
0xb2d0ea35,390211.31,4
0xb2d8fa4a,1.0,1
0xb2d0b0f0,233.75,11
0xb2d0b0ea,1106788.8,6
0xb2d61112,350055.02,5
0xb2d16c52,882104.72,4
0xb2d8fa32,2305.0,1
0xb2d14bc1,684.21,1
0xb2d8fa35,500000.0,2
0xb2d14bbe,0.0,1
0xb2d5afb3,1870.94,1
0xb2d6110c,560596.28,4
0xb2d0b0d8,1.0,1
0xb2d1a945,304467.91,3
0xb2d4cdc6,3169.09,1
0xb2d0ea05,53.54,1
0xb2d61103,11.42,1
0xb2d34cf7,675552.04,6
0xb2d5af77,7.53,1
0xb2d2077a,9.08,1
0xb2d147a1,54.38,1
0xb2d4cdcf,4.16,1
0xb2d4909d,202581.9,1
0xb2d34d03,5771.56,1
0xb2d0b114,37.81,1
0xb2d695ab,2.91,1
0xb2d551f6,0.43,1
0xb2d43322,1.12,1
0xb2d551f0,6887.08,1
0xb2d81647,60044.02,2
0xb2d147b0,52846.62,2
0xb2d0ea23,0.2,1
0xb2d0ea29,42392.35,1
0xb2d551b4,0.95,1
0xb2d432bf,0.05,1
0xb2d2691e,5505.4,1
0xb2d4ee06,1693.5,1
0xb2d4ee03,300007.34,3
0xb2d1a927,10.13,1
0xb2d4c99a,27.53,1
0xb2d16c13,7880.14,5
0xb2d4c99d,50819.59,2
0xb2d8f9f6,1.0,1
0xb2d4cd7e,1230191.46,6
0xb2d16c10,183500.44,3
0xb2d16c0d,60.78,3
0xb2d26921,2.4,1
0xb2d26924,351.55,1
0xb2d17003,269865.13,3
0xb2d49058,0.17,1
0xb2d4ee0f,30001.69,3
0xb2d14b76,12945.47,1
0xb2d1a92d,50.51,1
0xb2d4f424,1004984.53,1
0xb2d16c31,1516031.78,4
0xb2d16c2e,153135.32,3
0xb2d10e8c,1063766.86,8
0xb2d551c6,901030.59,3
0xb2d1a915,0.1,1
0xb2d16fe8,3392984.27,6
0xb2d207b9,0.01,1
0xb2d16c22,0.0,1
0xb2d16c1f,0.0,1
0xb2d16feb,0.0,1
0xb2d16c25,20.75,2
0xb2d4906a,1.36,1
0xb2d1a918,0.0,1
0xb2d1a921,28.19,2
0xb2d2c6e1,6.84,1
0xb2d16bec,552509.69,5
0xb2d22c31,6.74,1
0xb2d1a8fa,16.31,1
0xb2d3d190,529070.24,2
0xb2d1a8fd,343703.71,10
0xb2d2694b,187442.14,4
0xb2d4f3f7,0.0,1
0xb2d2694e,5.1,1
0xb2d4f3fa,2.28,1
0xb2d2c6db,0.0,1
0xb2d2c6de,200.76,1
0xb2d22c2b,2.09,1
0xb2d10e50,358234.24,3
0xb2d5519f,3356.49,1
0xb2d3d181,5662.17,1
0xb2d16bfb,1007001.34,5
0xb2d1a8e8,74.28,1
0xb2d551ab,118893.17,2
0xb2d8fa0e,294.0,1
0xb2d26939,1942.98,1
0xb2d16bf8,0.19,2
0xb2d22c40,53.07,1
0xb2d551a5,3882.11,1
0xb2d1a8f4,1.4,2
0xb2d373ca,20129.13,1
0xb2d373c4,0.0,1
0xb2d75521,1100.27,1
0xb2d22c55,75.66,1
0xb2d373d3,45.99,1
0xb2d1cde7,0.0,1
0xb2d1cdd2,903592.03,6
0xb2d26957,5.55,1
0xb2d1cddb,0.95,1
0xb2d2c6f0,164.23,1
0xb2d3d14b,1.32,1
0xb2d4ee4e,3.89,1
0xb2d28dc9,33.01,1
0xb2d4ee48,73351.71,3
0xb2d16c40,182348.44,3
0xb2d1701b,413979.28,17
0xb2d2eb9e,1.1,1
0xb2d8d551,20.0,1
0xb2d28dfc,95347.68,1
0xb2d3739d,575.98,1
0xb2d8d554,3.11,1
0xb2d17024,0.32,1
0xb2d17027,104025.34,2
0xb2d28e0b,25000.38,2
0xb2d16c34,0.05,2
0xb2d2eb98,5.55,1
0xb2d373af,0.63,1
0xb2d8d54b,55.46,1
0xb2d22c79,1184177.5,7
0xb2d22c7c,178223.84,2
0xb2d1700c,50000.03,3
0xb2d3acb8,665.45,1
0xb2d3acbb,39743.93,2
0xb2d28de4,1.17,1
0xb2d28de7,891.59,11
0xb2d1a939,444093.34,11
0xb2d2c726,27.51,1
0xb2d3acb5,2.08,1
0xb2d32882,0.0,1
0x3b9b24cf,669.0,2
0x3b9b24cc,6.86,1
0x3b9b244b,660538.87,3
0xb2d63662,5.0,1
0xb2d28e26,1.01,1
0xb2d79172,270272.22,1
0xb2d34d42,36.87,1
0xb2d373f1,20387.14,1
0x3b9b2451,102.38,1
0xb2d79175,708.0,1
0xb2d34d48,38.86,1
0xb2d34d45,51447.88,1
0xb2d40eaa,11125908.1,3
0xb2d373f4,8.85,1
0xb2d2ebbc,1.03,1
0xb2d373fa,3.33,1
0xb2d34d51,4.83,1
0xb2d34d4e,1330.52,1
0xb2d6f6c2,50000.53,2
0xb2d0e97b,0.0,1
0xb2d0e978,111.29,1
0xb2d6955a,40.12,1
0xb2d28e11,799.7,1
0xb2d63644,43.04,1
0xb2d5d4d3,1.65,1
0xb2d7918d,0.51,1
0xb2d3ad06,40.57,1
0xb2d6f6b6,22.5,1
0xb2d28e20,43.28,1
0xb2d0e981,474930.01,4
0xb2d373dc,0.0,1
0xb2d40ec2,406439.38,4
0xb2d28e1d,0.51,1
0xb2d6363e,5.0,1
0xb2d40ecb,31.82,1
0xb2d63638,501000.0,4
0xb2d63635,0.1,1
0xb2d6f6f5,0.0,1
0xb2d5d4bb,6.71,1
0xb2d611c3,19900.02,1
0xb2d75485,130003.17,3
0xb2d40ed1,322033.67,2
0xb2d40ed7,0.0,1
0xb2d69566,104.76,1
0xb2d63629,50574.01,1
0xb2d69560,10060.55,2
0xb2d6f6e9,13.98,1
0xb2d5770a,50025.27,3
0xb2d6f6ef,0.07,1
0xb2d5d4a9,120207.88,2
0xb2d2ebe3,54.62,1
0xb2d6361d,1276.26,1
0xb2d08bd9,76822.25,4
0xb2d6f6e3,100.02,1
0xb2d1cd8d,93095.83,3
0xb2d40ee9,106.06,1
0xb2d611a8,0.0,2
0xb2d79169,9.3,1
0xb2d2ebd4,164.09,1
0xb2d08bd0,98.99,2
0xb2d611a2,20123.27,1
0xb2d14759,80018.66,2
0xb2d4335e,14.85,1
0xb2d0e9b4,0.05,1
0xb2d08c12,0.0,1
0xb2d8f9cf,10000.0,1
0xb2d5d48e,50527.29,2
0xb2d5b016,400037.81,3
0xb2d61193,60530.79,2
0xb2d5b019,400000.0,3
0xb2d6d208,0.0,1
0xb2d81608,0.06,1
0xb2d6d20b,0.0,1
0xb2d43364,14557.72,1
0xb2d1a8e2,0.06,2
0xb2d5d49a,102221.26,3
0xb2d0b06f,0.0,1
0xb2d1a8dc,214221.38,3
0xb2d69506,4.0,1
0xb2d46ca6,165433.35,3
0xb2d69509,200002.11,2
0xb2d6950c,30031.47,2
0xb2d5d479,0.49,1
0xb2d815f9,0.1,1
0xb2d1476b,1200094.2,4
0xb2d61190,0.0,1
0xb2d14771,0.21,1
0xb2d08bfd,0.01,1
0xb2d4336a,332.13,1
0xb2d5d47c,215.44,1
0xb2d5d482,60942.25,3
0xb2d5d47f,0.0,1
0xb2d57704,376886.22,6
0xb2d4cdff,6931.9,1
0xb2d10e2f,4.8,1
0xb2d57701,320366.81,4
0xb2d4ce05,3535.44,1
0xb2d6117e,614.25,1
0xb2d4337c,935.87,1
0xb2d576fb,0.11,1
0xb2d576fe,14.34,1
0xb2d5d48b,0.88,1
0xb2d576f8,109033.78,3
0xb2d10e3b,550001.08,6
0xb2d4ce3b,1887.26,1
0xb2d55259,108252.72,3
0xb2d55256,81.59,1
0xb2d815e4,1.0,1
0xb2d6117b,84192.61,4
0xb2d34d69,637.91,1
0xb2d815e7,98.0,1
0xb2d69512,87004.35,5
0xb2d0b09f,1.0,1
0xb2d6116c,0.0,1
0xb2d43394,460059.62,3
0xb2d51932,156005.96,6
0xb2d34d72,65.27,1
0xb2d5b00d,2.03,1
0xb2d14b22,948281.05,5
0xb2d69530,10205.98,1
0xb2d61166,241187.93,3
0xb2d34d81,583.75,1
0xb2d49139,467250.29,3
0xb2d815d2,100.0,1
0xb2d5b001,421172.87,10
0xb2d4ce32,21.37,1
0xb2d4ce2c,231.08,1
0xb2d4eec0,206.17,1
0xb2d34d8a,14744.08,1
0xb2d5522c,33888.0,1
0xb2d16f7c,221334.02,6
0xb2d16f82,11.86,2
0xb2d4cdea,69991454.17,10
0xb2d4cde7,5171.11,1
0xb2d1a8ac,182000.4,5
0xb2d22c82,296333.4,2
0xb2d1a8af,933230.34,9
0xb2d10e0b,2.11,1
0xb2d10e05,258914.37,6
0xb2d51902,16.48,1
0xb2d4ee81,2030081.19,3
0xb2d83a47,14.2,1
0xb2d4ee8a,0.53,1
0xb2d4ee87,101.63,1
0xb2d1a8b5,4.45,2
0xb2d10e14,718186.41,5
0xb2d10e11,87.98,1
0xb2d5523e,11389.02,1
0xb2d22c91,334.12,1
0xb2d8980a,0.05,1
0xb2d1a897,500715.94,4
0xb2d576b0,0.0,1
0xb2d1a89d,20.28,1
0xb2d1a89a,0.22,1
0xb2d5524a,416.32,1
0xb2d0b039,0.03,1
0xb2d1a88b,1.0,1
0xb2d0e966,276.49,9
0xb2d551ff,24000001.0,2
0xb2d551f9,10.96,1
0xb2d1a885,5.3,1
0xb2d22c9d,1730038.97,6
0xb2d22ca3,162890.71,2
0xb2d4eeb1,100.39,1
0xb2d1a894,0.99,1
0xb2d14ad7,17.6,1
0xb2d1a891,2057180.85,6
0xb2d5afb9,37.9,1
0xb2d10df6,0.0,3
0xb2d10df0,110.27,1
0xb2d55220,774.18,1
0xb2d14714,791956.06,3
0xb2d4ee9f,0.01,1
0xb2d815a8,1.06,1
0xb2d518f3,50911.01,1
0xb2d51518,75767.01,2
0xb2d4f48a,170424.86,4
0xb2d1cd75,203.27,1
0x3b9b249f,5.03,1
0xb2d28e50,0.0,2
0xb2d2ebe9,0.85,1
0xb2d28e4a,0.54,1
0xb2d1cd66,10.12,1
0xb2d16be6,9.53,1
0xb2d28e5c,0.74,1
0xb2d22cc7,1.65,2
0xb2d4f451,4.13,1
0xb2d28e32,6210.67,1
0x3b9b248d,1000245.44,7
0xb2d7b650,15.05,1
0xb2d3742a,20.81,1
0xb2d6f70d,1.11,1
0xb2d1cd4e,0.0,1
0xb2d1cd57,464412.71,3
0x3b9b247e,288756.93,6
0x3b9b2484,51.17,1
0xb2d6f6fe,150099.61,2
0xb2d16fca,329609.45,6
0xb2d4f460,7.87,1
0xb2d1cd45,1604213.47,9
0xb2d16fa6,581762.75,3
0xb2d16fa9,387.18,1
0xb2d16bc5,4.03,1
0xb2d28e7d,0.0,1
0xb2d3741b,6.12,1
0xb2d3d1bd,32.35,1
0xb2d1a8d3,10401.27,1
0xb2d37415,9.95,1
0xb2d16bc2,340003.49,6
0xb2d16fb5,0.51,1
0xb2d37421,505.15,1
0xb2d8d4d0,762000.0,6
0xb2d3741e,37.21,1
0x3b9b2463,10.23,1
0xb2d1cd36,332357.29,7
0xb2d16f97,0.0,2
0x3b9b2460,0.0,1
0xb2d1a8c1,595000.0,5
0xb2d37406,6.33,1
0xb2d28e62,612.03,1
0xb2d1a8c7,13.21,1
0xb2d3ad3c,42098.4,3
0xb2d3ad3f,39.42,1
0xb2d40e95,0.01,1
0xb2d28e71,0.0,1
0xb2d28e68,6.9,1
0xb2d3740f,3360.51,1
0xb2d1a8cd,7.16,1
0xb2d3740c,27.38,1
0xb2d1a8ca,100058.87,2
0xb2d1a8d0,8.76,1
0xb2d3f84e,0.0,1
0xb2d3128f,36.49,1
0xb2d8043b,0.09,1
0xb2d4355c,2.47,1
0xb2d39aa9,3.61,1
0xb2d39ab8,4.9,1
0xb2d39abb,930271.33,6
0xb2d31280,0.0,1
0xb2d43568,133.8,1
0xb2d77c2a,10.0,1
0xb2d3d3e2,221095.98,3
0xb2d3127a,3.39,1
0xb2d39a94,158008.19,2
0xb2d31274,1.98,1
0xb2d39aa6,140017.2,4
0xb2d3d3ca,210858.49,3
0xb2d8fcbd,10000000.0,2
0xb2d3d3bb,291534.64,3
0xb2d8fcc0,0.0,1
0xb2d43586,300307.43,3
0xb2d34f79,338885.04,1
0xb2d459ec,100.81,1
0xb2d39a91,0.63,1
0xb2d45a0d,34035.6,1
0xb2d4f0bb,447254.17,6
0xb2d0b1a4,1760.54,2
0xb2d45a07,26581.76,2
0xb2d8fcb7,1.0,1
0xb2d37613,7995.13,1
0xb2d16d2d,4.68,1
0xb2d1710e,693115.83,8
0xb2d6bcae,61.99,1
0xb2d6bcb1,200736.82,2
0xb2d10f85,300000.0,5
0xb2d45a2b,200436.99,3
0xb2d0b1e3,468.07,1
0xb2d22e7d,355317.94,3
0xb2d375fe,42.94,1
0xb2d63854,50002.11,2
0xb2d6bcba,35.2,1
0xb2d6384e,3.5,1
0xb2d10f9d,12787.89,1
0xb2d0b1ce,206827.39,3
0xb2d6bc9c,320008.45,3
0xb2d45a2e,42570.86,2
0xb2d16d36,19.93,1
0xb2d6383f,199002.1,2
0xb2d17108,0.17,1
0xb2d63842,5.0,1
0xb2d22e95,1887.37,1
0xb2d16d30,15003.32,1
0xb2d1f57a,2.31,1
0xb2d6bcd2,0.04,1
0xb2d22ead,1279.08,3
0xb2d10f5b,0.97,1
0xb2d2902a,61.83,1
0xb2d10f5e,302532.98,3
0xb2d2902d,0.81,1
0xb2d22ea7,6.14,1
0xb2d29030,10.8,1
0xb2d22eaa,545.17,1
0xb2d63830,332133.41,4
0xb2d10f76,717209.79,9
0xb2d4f10c,16.07,1
0xb2d22ec8,3.17,1
0xb2d6bcc0,2216296.53,3
0xb2d6bcc6,40013.01,1
0xb2d1f595,12.47,1
0xb2d5d6b9,203015.48,2
0xb2d22ebf,0.0,1
0xb2d1f592,0.13,1
0xb2d2901e,61.71,1
0xb2d29021,11.62,1
0xb2d29024,100563.75,2
0xb2d16d06,237961.59,2
0xb2d2edf3,264986.73,2
0xb2d25346,4494810.05,10
0xb2d5d695,9.04,1
0xb2d578f3,21.68,1
0xb2d16d03,1805925.66,11
0xb2d2ede7,2.64,1
0xb2d8c381,10000.0,2
0xb2d578e7,1.18,1
0xb2d16cfa,291162.08,14
0xb2d22ed1,3041200.5,13
0xb2d2905a,12.11,1
0xb2d2905d,0.0,1
0xb2d6bce1,30000015.0,2
0xb2d6bcde,50175.0,1
0xb2d22ece,40.81,1
0xb2d170d2,27626.8,1
0xb2d2ede1,20549.12,1
0xb2d34f88,15697.49,1
0xb2d2535b,10164.64,1
0xb2d1aa02,200011.43,3
0xb2d34f85,16.48,1
0xb2d1ce68,81.01,1
0xb2d8c393,20000.0,2
0xb2d170de,10.23,1
0xb2d16d0f,63.79,1
0xb2d1ce6e,11.3,1
0xb2d5d68c,3.91,1
0xb2d25349,1253.74,1
0xb2d170c3,260280.83,3
0xb2d5d668,1438029.33,12
0xb2d16cd9,0.0,11
0xb2d10f37,4.5,5
0xb2d1a9f0,6.21,2
0xb2d6bcfc,11394.99,1
0xb2d16cd6,0.06,1
0xb2d16cd3,350059.28,2
0xb2d170cc,483983.19,4
0xb2d25367,44.89,1
0xb2d6bd05,0.0,1
0xb2d1a9f6,0.01,1
0xb2d2b4f0,19.24,1
0xb2d10f43,250000.79,5
0xb2d6bd08,505329.11,2
0xb2d10f4f,2.66,4
0xb2d16cf7,46.43,1
0xb2d10f52,1056164.29,4
