cust_no,B1,B2,B3,B4,B5,B6,B7
0xb2d64358,6,2,1000000.0,4,2000000.0,2019-12-04 13:00:00,79.0
0xb2da08da,0,1,10000.0,1,10000.0,2019-12-06 04:53:00,3.0
0xb2d9baa6,4,0,0.0,1,1420.0,2019-12-01 04:13:00,4.0
0xb2d8d7dc,1,1,100.0,0,0.0,2019-12-28 11:56:00,94.0
0xb2d0e392,1,0,0.0,1,1953.0,2019-12-05 07:25:00,5.0
0xb2d13dce,0,0,0.0,0,0.0,2019-12-24 12:23:00,17.0
0xb2d26d98,0,2,5106363.61,0,0.0,2019-12-31 17:56:00,2.0
0xb2d2437c,0,0,0.0,0,0.0,2019-05-08 15:16:00,0.0
0xb2d904fa,8,2,1806742.4,0,0.0,2019-12-31 12:47:00,76.0
0xb2d5fcf6,3,2,14000.0,0,0.0,2019-12-21 17:58:00,6.0
0xb2d0bc78,1,1,103248.89,0,0.0,2019-12-31 09:52:00,1.0
0xb2d6a566,0,0,0.0,0,0.0,2019-12-12 07:47:00,11.0
0xb2d6e792,0,0,0.0,0,0.0,2019-12-10 15:41:00,3.0
0xb2d38552,0,0,0.0,0,0.0,,0.0
0xb2d69058,0,1,479.04,0,0.0,2019-12-08 10:08:00,14.0
0xb2d5abc0,2,1,100000.0,0,0.0,2019-12-27 20:38:00,4.0
0xb2d6bd76,0,1,220.0,0,0.0,2019-12-28 15:20:00,88.0
0xb2d6e611,86,0,0.0,0,0.0,2019-12-31 18:47:00,35.0
0xb2d07ecf,1,0,0.0,1,1065.68,2019-12-28 20:12:00,3.0
0xb2d3b6f3,1,0,0.0,0,0.0,2019-03-22 08:06:00,0.0
0xb2d99fe1,8,1,100.0,0,0.0,2019-12-12 19:00:00,9.0
0xb2d688d3,1,1,4912.18,0,0.0,2019-12-31 23:27:00,40.0
0x3b9b3ddc,0,0,0.0,0,0.0,2019-11-16 09:50:00,4.0
0xb2d69b2c,4,0,0.0,2,14000.0,2019-12-18 17:36:00,4.0
0xb2d1fd1a,0,1,17692.85,0,0.0,2019-12-24 02:24:00,4.0
0xb2d58070,0,0,0.0,0,0.0,2019-10-25 04:13:00,3.0
0xb2d50b22,8,0,0.0,0,0.0,2019-12-27 11:18:00,2.0
0xb2d6c246,0,0,0.0,0,0.0,2019-12-15 14:13:00,10.0
0xb2da4683,0,2,200000.0,0,0.0,2019-12-19 12:00:00,4.0
0xb2d5ae75,6,2,645512.0,0,0.0,2019-12-25 23:59:00,4.0
0xb2d6cf35,0,0,0.0,0,0.0,2019-12-30 20:45:00,21.0
0xb2d52e06,1,0,0.0,0,0.0,2019-10-15 06:39:00,3.0
0xb2d41fec,15,4,1570000.0,8,1980490.0,2019-12-31 06:03:00,38.0
0xb2d0a59c,0,0,0.0,0,0.0,2019-10-05 23:57:00,0.0
0xb2d6d9bc,6,1,12014933.33,1,9900000.0,2019-12-26 16:46:00,162.0
0xb2d37178,0,0,0.0,0,0.0,2019-12-26 18:07:00,174.0
0xb2d973aa,0,0,0.0,0,0.0,2019-09-27 08:45:00,0.0
0xb2d69ec8,0,1,29700.0,0,0.0,2019-12-21 23:58:00,3.0
0xb2d9bbda,1,0,0.0,1,3200000.0,2019-12-02 10:27:00,3.0
0xb2d6ddf2,0,0,0.0,0,0.0,2019-06-15 13:33:00,0.0
0xb2d8c838,0,0,0.0,0,0.0,2019-11-26 05:57:00,9.0
0xb2d360a0,22,3,1089347.03,10,1197000.0,2019-12-22 18:33:00,17.0
0xb2d3b7da,1,0,0.0,0,0.0,2019-11-25 23:22:00,1.0
0xb2d3e1f6,0,0,0.0,0,0.0,2019-11-08 05:06:00,10.0
0xb2d0f504,37,2,100385.0,2,50385.0,2019-12-23 04:07:00,12.0
0xb2d0a54f,0,0,0.0,0,0.0,2019-12-09 16:03:00,9.0
0xb2d627f9,0,0,0.0,0,0.0,2019-10-01 07:27:00,2.0
0xb2d5e533,0,0,0.0,0,0.0,,0.0
0xb2d49453,7,0,0.0,1,1701000.0,2019-12-12 02:21:00,7.0
0xb2d5b513,1,0,0.0,0,0.0,2019-09-19 11:15:00,0.0
0xb2d2d72b,3,1,107233.0,0,0.0,2019-12-31 13:54:00,121.0
0xb2d0ced1,0,0,0.0,0,0.0,2019-07-22 10:26:00,0.0
0xb2d2ce25,0,1,7000.0,0,0.0,2019-12-17 02:11:00,3.0
0xb2d6d8d5,1,0,0.0,0,0.0,2019-09-01 13:46:00,0.0
0xb2d5afa9,0,0,0.0,0,0.0,2019-04-21 16:45:00,0.0
0xb2d6b859,1,0,0.0,0,0.0,2019-11-08 05:12:00,14.0
0xb2d67ccb,1,1,150000.0,1,150000.0,2019-12-03 04:20:00,3.0
0xb2d223e7,2,1,1000.0,0,0.0,2019-12-31 13:01:00,24.0
0xb2d9d303,5,1,100.0,1,100.0,2019-12-14 17:50:00,8.0
0x3b9ada4d,0,0,0.0,0,0.0,,0.0
0xb2d95d1b,0,1,90000.0,1,90000.0,2019-12-17 04:28:00,3.0
0xb2d89f9d,16,0,0.0,0,0.0,2019-11-28 10:58:00,5.0
0xb2d6eb7b,0,0,0.0,0,0.0,2019-05-14 04:12:00,0.0
0xb2d9c661,0,0,0.0,0,0.0,2019-11-05 10:48:00,3.0
0xb2d69b79,0,0,0.0,0,0.0,2019-12-31 17:51:00,80.0
0xb2d43ee7,0,0,0.0,0,0.0,,0.0
0xb2d9dfa5,8,0,0.0,0,0.0,2019-11-19 04:09:00,8.0
0xb2d92529,0,0,0.0,0,0.0,2019-11-15 21:54:00,2.0
0xb2d1f931,0,2,55000.0,0,0.0,2019-12-26 10:39:00,5.0
0xb2d41397,5,0,0.0,2,100000.0,2019-12-31 18:44:00,5.0
0xb2d9c35f,5,0,0.0,0,0.0,2019-12-19 14:22:00,20.0
0xb2da3779,1,1,20000.0,1,20000.0,2019-12-29 09:44:00,21.0
0xb2d5d891,0,0,0.0,0,0.0,2019-11-10 12:47:00,4.0
0xb2d6960f,0,0,0.0,0,0.0,2019-12-15 10:31:00,4.0
0xb2d58a5d,0,0,0.0,0,0.0,2019-08-20 04:09:00,0.0
0xb2d6c62f,0,0,0.0,0,0.0,2019-12-07 15:53:00,1.0
0xb2d587f5,0,0,0.0,0,0.0,2019-06-21 05:25:00,0.0
0xb2d4f795,9,5,72200.0,1,36000.0,2019-12-25 04:18:00,13.0
0xb2d288f7,0,0,0.0,0,0.0,,0.0
0xb2d5c11b,2,0,0.0,1,100000.0,2019-12-06 04:30:00,2.0
0xb2d9ddd7,1,0,0.0,1,700.0,2019-12-13 04:28:00,7.0
0xb2d97a48,0,0,0.0,0,0.0,2019-12-31 17:03:00,24.0
0xb2d38b56,0,0,0.0,0,0.0,,0.0
0xb2d9e428,0,0,0.0,1,160000.0,2019-12-17 14:07:00,7.0
0xb2d9bd0e,0,0,0.0,0,0.0,2019-12-09 17:31:00,2.0
0xb2d55822,0,0,0.0,0,0.0,2019-12-31 19:41:00,395.0
0xb2d9ab02,13,0,0.0,8,360000.0,2019-12-10 19:07:00,23.0
0xb2d92cae,0,0,0.0,0,0.0,2019-12-02 08:36:00,4.0
0xb2d992f2,3,0,0.0,0,0.0,2019-12-14 23:56:00,5.0
0xb2d6a1ca,0,0,0.0,0,0.0,2019-12-31 20:32:00,182.0
0xb2d5f054,0,0,0.0,0,0.0,2019-12-07 14:30:00,3.0
0xb2d8e34a,40,6,103000.0,6,103000.0,2019-12-27 09:41:00,38.0
0xb2d63e88,0,0,0.0,0,0.0,2019-10-25 10:16:00,1.0
0xb2d7080e,0,0,0.0,0,0.0,2019-12-06 21:15:00,20.0
0xb2da1616,3,2,100100.0,1,100000.0,2019-12-12 19:00:00,4.0
0xb2d6599a,1,1,5000.0,0,0.0,2019-12-23 15:35:00,9.0
0xb2d273e9,0,1,44397.02,0,0.0,2019-12-23 17:45:00,13.0
0xb2d8d225,0,0,0.0,0,0.0,2019-12-29 11:27:00,31.0
0xb2d57eef,11,5,1601830.47,3,994129.83,2019-12-25 04:14:00,14.0
0xb2d8a507,0,0,0.0,0,0.0,2019-11-01 09:30:00,5.0
0xb2d60f4f,3,1,100000.0,1,100000.0,2019-12-31 10:39:00,8.0
0xb2d37c99,0,0,0.0,0,0.0,2019-11-26 15:49:00,3.0
0xb2d2a107,2,0,0.0,0,0.0,2019-08-30 03:57:00,0.0
0xb2d6275f,6,0,0.0,2,17862.5,2019-12-27 17:09:00,6.0
0xb2d6b557,2,1,30956.25,0,0.0,2019-12-30 17:56:00,1.0
0xb2d5b2ab,0,0,0.0,0,0.0,2019-11-08 05:06:00,6.0
0xb2d3f583,0,2,13000.0,0,0.0,2019-12-21 23:56:00,4.0
0xb2d6dc71,2,0,0.0,1,1421.0,2019-12-08 11:02:00,3.0
0xb2d6bb5b,0,1,4720.0,0,0.0,2019-12-24 15:44:00,5.0
0xb2d57381,1,1,80000.0,1,80000.0,2019-12-03 04:20:00,5.0
0xb2d9f983,7,0,0.0,0,0.0,2019-11-26 05:59:00,3.0
0xb2d6af53,0,0,0.0,0,0.0,2019-03-28 11:49:00,0.0
0xb2d99f47,1,0,0.0,0,0.0,2019-10-18 04:14:00,2.0
0xb2d61ef3,0,0,0.0,0,0.0,2019-10-22 04:31:00,5.0
0xb2d55439,0,1,38000.0,0,0.0,2019-12-11 02:17:00,3.0
0xb2d2a06d,0,0,0.0,0,0.0,,0.0
0xb2d9ca97,0,0,0.0,0,0.0,2019-11-05 15:46:00,0.0
0xb2d6f2b3,0,0,0.0,0,0.0,2019-05-17 04:10:00,0.0
0xb2d99a77,11,0,0.0,0,0.0,2019-11-29 10:02:00,6.0
0xb2da0fc5,6,1,80000.0,1,80000.0,2019-12-06 04:47:00,3.0
0xb2d0ebb1,0,0,0.0,0,0.0,2019-10-22 04:27:00,3.0
0xb2d21879,0,0,0.0,0,0.0,2019-06-21 05:26:00,0.0
0xb2d68369,2,4,1121308.86,2,623000.0,2019-12-17 04:32:00,12.0
0xb2d574b5,23,6,639671.0,4,334000.0,2019-12-29 19:15:00,24.0
0xb2d64741,41,0,0.0,5,5864.0,2019-12-24 10:45:00,19.0
0xb2d5a7d7,17,2,102299.45,4,103064.64,2019-12-25 10:11:00,20.0
0xb2d9c191,4,2,120074.67,1,60000.0,2019-12-27 18:10:00,10.0
0xb2d80167,5,0,0.0,0,0.0,2019-07-31 20:35:00,0.0
0xb2d0a9d2,0,0,0.0,0,0.0,2019-11-10 20:54:00,1.0
0xb2d6bcdc,5,0,0.0,2,11820.96,2019-12-04 09:23:00,6.0
0xb2d42724,1,0,0.0,0,0.0,2019-11-28 04:17:00,4.0
0xb2d1e8a6,1,1,30334.83,0,0.0,2019-12-27 18:07:00,1.0
0xb2d2c136,0,0,0.0,0,0.0,,0.0
0xb2d550ea,7,11,22563.61,2,11000.0,2019-12-31 22:14:00,263.0
0xb2d24be8,0,0,0.0,0,0.0,2019-04-12 04:07:00,0.0
0xb2d62376,5,0,0.0,5,5300.0,2019-12-26 15:47:00,15.0
0xb2d21bc8,20,6,17130098.0,10,360100.0,2019-12-30 14:03:00,22.0
0xb2d62678,9,3,172976.0,4,62958.0,2019-12-31 17:22:00,26.0
0xb2d39cc8,3,0,0.0,0,0.0,2019-11-12 04:30:00,10.0
0xb2d9d6ec,2,0,0.0,0,0.0,2019-11-18 10:45:00,5.0
0xb2d55bbe,0,4,86358.57,0,0.0,2019-12-31 16:40:00,13.0
0xb2d07b80,4,0,0.0,0,0.0,2019-11-27 15:14:00,5.0
0xb2d3fbd4,5,0,0.0,0,0.0,2019-12-28 20:28:00,34.0
0xb2d58ee0,0,0,0.0,0,0.0,2019-10-25 03:56:00,2.0
0xb2d9bda8,0,0,0.0,0,0.0,2019-11-01 08:44:00,3.0
0xb2d9968e,13,0,0.0,0,0.0,2019-10-18 03:54:00,3.0
0xb2d69e2e,0,0,0.0,0,0.0,2019-03-16 16:28:00,0.0
0xb2d2303c,0,1,4000.0,0,0.0,2019-12-18 02:26:00,2.0
0xb2d42c8e,3,0,0.0,0,0.0,2019-12-21 23:59:00,2.0
0xb2d9dd8a,7,2,55300.0,0,0.0,2019-12-30 17:10:00,15.0
0xb2d6ffa2,0,0,0.0,0,0.0,2019-12-30 16:56:00,14.0
0xb2d5d5dc,0,0,0.0,0,0.0,2019-12-17 13:32:00,9.0
0xb2d99e60,0,1,4133.0,0,0.0,2019-12-31 12:43:00,48.0
0xb2da04a4,2,1,200000.0,1,200000.0,2019-12-03 04:20:00,4.0
0xb2da3645,8,2,60091.0,1,60000.0,2019-12-18 14:54:00,5.0
0xb2d6d707,36,0,0.0,1,7104.17,2019-12-25 17:42:00,3.0
0xb2d6c4fb,5,4,150000.0,4,150000.0,2019-12-20 04:48:00,17.0
0xb2d25239,7,2,102624.44,1,51000.0,2019-12-31 19:24:00,14.0
0xb2d55d3f,2,0,0.0,3,40000.0,2019-12-10 04:52:00,6.0
0x3b9b0e56,2,10,616045.1,3,600665.0,2019-12-31 17:32:00,118.0
0xb2d9498e,0,0,0.0,0,0.0,2019-09-20 04:34:00,0.0
0xb2d2850e,0,0,0.0,0,0.0,,0.0
0xb2d91068,0,1,10000.0,0,0.0,2019-12-21 23:58:00,3.0
0xb2d6effe,0,1,7000.0,0,0.0,2019-12-21 23:59:00,3.0
0xb2d8e048,0,0,0.0,0,0.0,2019-07-16 15:18:00,0.0
0xb2d3b60c,8,3,664894.18,15,664898.77,2019-12-30 22:23:00,23.0
0xb2d55c0b,6,0,0.0,2,50000.0,2019-12-26 14:24:00,23.0
0xb2d697dd,0,0,0.0,0,0.0,2019-12-20 22:16:00,12.0
0xb2d9fa1d,0,0,0.0,0,0.0,2019-11-26 05:56:00,3.0
0xb2d3aded,2,0,0.0,0,0.0,2019-10-09 17:36:00,1.0
0xb2d68101,0,0,0.0,0,0.0,2019-06-11 04:34:00,0.0
0xb2d54831,13,0,0.0,0,0.0,2019-12-13 21:05:00,11.0
0xb2d928c5,0,0,0.0,0,0.0,2019-12-16 12:25:00,11.0
0xb2d076fd,0,0,0.0,0,0.0,2019-09-20 04:39:00,0.0
0xb2d7538d,0,0,0.0,0,0.0,2019-05-31 04:15:00,0.0
0xb2d254a1,1,0,0.0,1,28907.83,2019-12-10 13:18:00,4.0
0xb2d38a6f,0,0,0.0,0,0.0,,0.0
0xb2d22481,0,0,0.0,0,0.0,2019-11-01 08:42:00,9.0
0xb2d16401,8,2,9600.0,0,0.0,2019-12-21 23:57:00,5.0
0xb2d7a72b,1,0,0.0,0,0.0,2019-11-06 04:23:00,5.0
0xb2d6e9ad,0,0,0.0,0,0.0,2019-05-17 04:16:00,0.0
0xb2d9af85,0,0,0.0,0,0.0,2019-10-25 04:10:00,2.0
0xb2d5fc0f,0,0,0.0,0,0.0,2019-04-12 03:58:00,0.0
0xb2d9282b,0,0,0.0,0,0.0,2019-11-28 09:25:00,1.0
0xb2d3b78d,0,0,0.0,0,0.0,2019-12-24 11:22:00,21.0
0xb2d90ab1,0,0,0.0,0,0.0,2019-12-06 11:23:00,2.0
0xb2d7f391,2,1,51044.51,1,4550.0,2019-12-26 17:45:00,2.0
0xb2d9f2e5,3,1,11000.0,2,13130.0,2019-12-21 04:15:00,9.0
0xb2d6e4dd,0,0,0.0,0,0.0,2019-11-04 08:49:00,9.0
0xb2d56bfc,0,0,0.0,0,0.0,2019-06-06 04:47:00,0.0
0xb2d55cf2,0,0,0.0,0,0.0,2019-05-24 04:28:00,0.0
0xb2d91c70,0,0,0.0,0,0.0,2019-12-12 14:18:00,14.0
0xb2d3c9e6,0,0,0.0,0,0.0,2019-11-12 04:36:00,11.0
0xb2d9afd2,0,0,0.0,0,0.0,2019-10-30 08:29:00,7.0
0xb2d60260,0,1,18580.5,0,0.0,2019-12-24 19:20:00,1.0
0xb2d6b9da,0,0,0.0,0,0.0,2019-08-26 18:40:00,0.0
0xb2d3e4f8,0,1,12000.0,0,0.0,2019-12-21 23:57:00,4.0
0xb2d16d54,0,0,0.0,0,0.0,2019-11-23 10:13:00,4.0
0xb2d8d742,0,0,0.0,0,0.0,2019-07-12 04:58:00,0.0
0xb2d1e5a4,0,0,0.0,0,0.0,2019-10-18 04:08:00,6.0
0xb2d51dc8,1,0,0.0,0,0.0,2019-10-12 04:30:00,4.0
0xb2d680b4,1,0,0.0,0,0.0,2019-11-22 10:04:00,6.0
0xb2da2f0d,3,1,80000.0,1,80000.0,2019-12-13 04:42:00,3.0
0xb2d9899f,1,0,0.0,1,3200.0,2019-12-20 10:55:00,9.0
0xb2d9e0d9,7,1,300000.0,5,292900.0,2019-12-28 14:53:00,13.0
0xb2d5dc2d,0,0,0.0,0,0.0,2019-10-28 16:16:00,2.0
0xb2d231bd,0,0,0.0,0,0.0,2019-10-10 23:58:00,3.0
0xb2d98fa3,0,0,0.0,0,0.0,2019-12-07 23:55:00,6.0
0xb2da320f,22,0,0.0,1,3000.0,2019-12-20 22:28:00,2.0
0xb2d0f8ed,0,0,0.0,0,0.0,,0.0
0xb2d42b0d,8,2,99204.42,0,0.0,2019-12-13 12:27:00,2.0
0xb2d6c0c5,0,1,50000.0,0,0.0,2019-12-27 12:25:00,89.0
0xb2d55a8a,7,1,20000.0,0,0.0,2019-12-31 02:20:00,6.0
0xb2d6e490,4,7,3464.0,0,0.0,2019-12-31 19:27:00,213.0
0xb2d09e64,0,0,0.0,0,0.0,2019-10-22 04:30:00,6.0
0xb2d0ef9a,0,0,0.0,0,0.0,,0.0
0xb2d8e0e2,0,0,0.0,0,0.0,2019-10-24 14:59:00,2.0
0xb2d6935a,2,0,0.0,0,0.0,2019-11-08 05:08:00,3.0
0xb2d55788,3,1,163000.0,1,163000.0,2019-12-13 04:46:00,17.0
0xb2d06b42,0,0,0.0,0,0.0,2019-11-25 09:49:00,1.0
0xb2da0bdc,41,1,100000.0,0,0.0,2019-12-18 10:04:00,10.0
0xb2d5c202,1,0,0.0,0,0.0,2019-05-24 04:20:00,0.0
0xb2da29f0,6,1,100.0,1,100000.0,2019-12-25 09:15:00,6.0
0xb2d34158,0,1,1950.0,0,0.0,2019-12-13 23:52:00,6.0
0xb2d5ce0a,40,0,0.0,1,730.0,2019-12-16 19:29:00,65.0
0xb2d906c8,21,16,8359.0,2,11500.0,2019-12-31 17:53:00,163.0
0xb2d16c20,0,0,0.0,0,0.0,,0.0
0xb2d68282,0,0,0.0,0,0.0,2019-11-10 16:46:00,3.0
0xb2d6e5c4,2,0,0.0,2,7300.0,2019-12-17 12:13:00,22.0
0xb2d22ca0,11,2,120501.67,2,60700.0,2019-12-31 10:18:00,11.0
0xb2d11ed3,14,17,2338462.41,7,681550.0,2019-12-31 18:35:00,200.0
0xb2d429d9,1,0,0.0,0,0.0,2019-12-31 12:15:00,49.0
0xb2d3ffbd,0,0,0.0,0,0.0,,0.0
0xb2da51f1,0,1,200000.0,0,0.0,2019-12-23 15:40:00,3.0
