cust_no,C1,C2
0xb2d28ed7,250000.0,6
0xb2d3d21a,380042.42,4
0xb2d40f0a,665.91,2
0xb2d3d27a,620350.17,4
0xb2d63743,449727.6,6
0xb2d4f568,443017.23,4
0x3b9b2529,280004.31,8
0xb2d63737,900003.3,5
0xb2d3d26b,12619.43,1
0xb2d6372e,85001.28,5
0xb2d43418,2023007.42,4
0x3b9b2511,241472.24,5
0xb2d5d596,200002.52,2
0xb2d636fe,300723.24,3
0xb2d695db,203240.16,2
0xb2d695de,180.56,1
0xb2d5d590,959.99,1
0xb2d0e8d6,1207.38,1
0xb2d08b19,362300.0,10
0xb2d61280,50005982.89,4
0xb2d695fc,500627.42,3
0xb2d0e8dc,100014.9,1
0xb2d636e0,167.0,1
0xb2d61283,200010.01,2
0xb2d5d56c,823.02,1
0xb2d95849,200017.1,2
0xb2d6f78e,600008.75,2
0xb2d69605,1393504.79,16
0xb2d577af,903334.75,4
0xb2d5b0c1,8.63,1
0xb2d6123e,817120.34,3
0xb2d5b0b8,16951.17,1
0xb2d6123b,292077.47,5
0xb2d61235,101006.18,2
0xb2d5777f,101924.09,2
0xb2d14639,877537.18,7
0xb2d5b0d6,30445.53,2
0xb2d1f44e,2084.02,1
0xb2d5b0d3,221818.02,17
0xb2d5779d,111293.04,2
0xb2d6122c,715033.94,6
0xb2d577a6,72015.86,2
0xb2d51626,52848.27,2
0xb2d519fe,169880.34,2
0xb2d9e19e,500000.39,5
0xb2d14a26,158066.92,6
0xb2d4ef62,530456.71,8
0xb2d2ecb8,153886.25,3
0xb2d83b1f,2255.35,1
0xb2d83b16,43.12,1
0xb2d25208,1975976.91,6
0xb2d14615,992518.05,16
0xb2d22d9c,310083.0,2
0xb2d515e7,281042.43,8
0xb2d4f55f,2556.77,1
0xb2d1460f,430448.61,4
0xb2d5b085,118.61,1
0xb2d5b0a9,502614.45,5
0xb2d95819,3873.03,3
0xb2d0e891,287017.48,8
0xb2d515ff,114744.59,4
0xb2d14a02,1950000.16,8
0xb2d69638,92004.67,5
0xb2d9581f,5622.02,1
0xb2da3f85,50001.06,2
0xb2d2b3a9,850617.32,6
0xb2d25241,1012.01,1
0xb2d2eccd,12.8,1
0xb2d1a7f8,2027.61,2
0xb2d2b3d0,130029.38,2
0xb2d2b3dc,2020993.82,6
0xb2d4f50b,146014.05,3
0xb2d4f50e,5279.62,1
0x3b9b255c,131.2,2
0xb2d93374,9.2,1
0xb2d8d5c3,875011.08,7
0xb2d8d5e1,416000.75,3
0xb2d2ecfa,70196.53,5
0xb2d8d5de,960.89,1
0xb2d3d292,51003.56,2
0xb2d4f523,4681.41,1
0xb2d2ecee,4442.18,1
0xb2d1a7dd,1603.41,1
0x3b9b254a,127658.82,5
0xb2d14a53,3.54,1
0xb2d81635,390954.02,6
0xb2d40e29,201864.22,2
0xb2d34ccd,17.55,1
0xb2d40e35,1567.26,1
0xb2d37379,660282.48,5
0xb2d2eb41,1035280.06,8
0x3b9b24a8,3597015.71,14
0xb2d0e9f6,890061.63,7
0xb2d08c1e,38429.81,3
0xb2d08c69,51487.09,2
0xb2d2eb7a,548669.08,4
0xb2d6114b,390126.71,5
0xb2d61145,70629.57,6
0xb2d32843,8288.82,1
0xb2d2eb71,14381.98,1
0xb2d6f764,10593.12,1
0xb2d6113f,615831.36,4
0xb2d957e3,97378.23,3
0xb2d0ea35,393001.87,4
0xb2d0b0ea,1151829.84,5
0xb2d61112,404955.13,4
0xb2d16c52,912474.22,4
0xb2d8fa35,501776.55,2
0xb2d6110c,569839.64,4
0xb2d1a942,767.68,1
0xb2d1a945,402510.97,4
0xb2d5af83,372519.46,3
0xb2d4cdc6,10406.57,1
0xb2d34cf7,1214632.18,4
0xb2d1479e,9379.8,1
0xb2d69587,75005.75,4
0xb2d0b111,290055.81,6
0xb2d20780,392583.81,3
0xb2d147ad,560085.1,3
0xb2d0ea29,34275.45,1
0xb2d4ee00,700013.65,7
0xb2d2691e,5516.04,1
0xb2d4ee06,859.23,1
0xb2d4ee03,373010.03,5
0xb2d20795,45499.72,3
0xb2d551c0,720275.06,3
0xb2d4cd7e,1140160.15,6
0xb2d16c10,236702.16,4
0xb2d26924,114.74,1
0xb2d17003,280044.54,2
0xb2d4f424,206462.58,1
0xb2d16c31,1618513.87,1
0xb2d10e8c,1122457.25,5
0xb2d551c6,1251038.06,4
0xb2d9330e,1856.11,1
0xb2d22c1f,179.79,1
0xb2d0b0ba,294.36,3
0xb2d16fe8,3392986.18,6
0xb2d2690f,6704.03,1
0xb2d26915,2562.89,1
0xb2d16bec,462077.12,4
0xb2d1a8fd,337955.73,13
0xb2d14b5e,1460078.34,4
0xb2d2694b,11374.63,2
0xb2d8fa23,10002.32,2
0xb2d10e50,400056.99,4
0xb2d9e1f2,240012.31,5
0xb2d16bfb,1027111.42,7
0xb2d551ab,0.0,1
0xb2d26939,3364.73,1
0xb2d3d172,301359.55,3
0xb2d9a54d,200004.22,2
0xb2da646c,50000.0,2
0xb2d1cde4,900000.74,6
0xb2d1cdd2,846201.87,5
0xb2d2c6f9,2121.92,1
0xb2d9a562,2100000.1,11
0xb2d2c6ea,922.76,1
0xb2d2c6ed,105102.23,2
0xb2d9a553,400045.0,5
0xb2d9a559,803552.63,3
0xb2d4ee48,186852.13,3
0xb2d16c40,182352.98,3
0xb2d1701b,360021.97,21
0xb2da3fd3,200000.0,2
0xb2d16c3d,520113.51,2
0xb2d28dfc,59084.6,1
0xb2d17027,104037.87,2
0xb2d22c76,138403.66,2
0xb2d22c79,1203977.84,7
0xb2da3fbb,10000.21,2
0xb2d3acb8,97498.05,2
0xb2d3acbb,51449.33,4
0xb2d28de7,893.32,11
0xb2d1a939,443364.41,11
0x3b9b244b,551946.91,2
0xb2d6f6c2,50000.53,2
0xb2d6f6b3,300003.17,2
0xb2d957a4,500007.0,3
0xb2d6364a,300101.97,2
0xb2d9579e,330000.0,2
0xb2d0e981,463613.82,4
0xb2d34d66,95050.62,3
0xb2d63638,501020.02,4
0xb2d75485,150003.49,4
0xb2d4cdf6,1212.2,1
0xb2d4cdf3,20267.77,1
0xb2d4cdf9,101850.53,2
0xb2d5770a,50040.61,2
0xb2d5d4a9,122496.36,2
0xb2d1cd8d,94558.31,2
0xb2d7546d,245762.29,1
0xb2d2ebd7,24341.48,1
0xb2d34d3f,193069.74,3
0xb2d611a5,210116.02,3
0xb2d6d202,7882.35,1
0xb2d6d205,902217.55,4
0xb2d4ce1d,3358.06,1
0xb2d5b016,600038.11,5
0xb2d61193,61560.89,1
0xb2d8f9d8,120079.4,4
0xb2d5d49a,51005.68,2
0xb2d1a8dc,263493.44,3
0xb2d46ca6,165438.62,3
0xb2d69509,206526.05,1
0xb2d0e9c9,301740.51,3
0xb2d5d47c,3922.65,1
0xb2d57704,385637.24,6
0xb2d576fe,150005.26,2
0xb2d576f8,108249.0,3
0xb2d5d485,2912.4,1
0xb2d10e3b,551642.93,6
0xb2d55259,125666.87,3
0xb2d6117b,64113.26,2
0xb2d34d6c,1091.38,1
0xb2d576c5,253843.64,3
0xb2d43385,470006.64,5
0xb2d69512,87982.94,4
0xb2d43394,820405.98,5
0xb2d4ce23,198.07,1
0xb2d14b22,994175.91,6
0xb2d61166,442483.18,4
0xb2d69527,471210.74,5
0xb2d95786,50000.53,2
0xb2d5b001,410866.2,9
0xb2da64c3,400000.0,2
0xb2d34d8a,4942.18,1
0xb2d16f7c,214973.07,5
0xb2d4cdea,148752562.44,12
0xb2d1a8ac,120078.96,5
0xb2d9a574,500000.0,3
0xb2d22c82,290294.43,2
0xb2d5afcb,71367.38,2
0xb2d1a8af,1021338.35,9
0xb2d10df9,2580.62,1
0xb2d16f88,11174.82,1
0xb2d10e05,324193.18,7
0xb2d4ee81,2030083.28,3
0xb2d9e270,29503.95,1
0xb2d10e14,723220.24,5
0xb2d5523e,7.5,1
0xb2d93296,12800.0,2
0xb2d9328d,50059.13,2
0xb2d8d518,24533.88,1
0xb2d1a897,530020.1,4
0xb2d10e1d,550000.1,4
0xb2d93299,30104.69,2
0xb2d932de,63150.54,3
0xb2d22c9d,1799034.85,7
0xb2d22ca0,200062.4,4
0xb2d1a891,2022782.02,6
0xb2d4f48a,960029.7,8
0xb2d28e47,501776.79,2
0xb2da64e1,50000.0,1
0xb2d28e32,6222.67,1
0x3b9b248d,1401161.66,9
0xb2d4f457,5.17,1
0xb2d1cd57,484712.05,4
0x3b9b247e,288762.14,6
0xb2d16fca,335348.88,5
0xb2d6f701,3311.64,1
0xb2d16fa6,581103.5,3
0xb2d1cd45,1189030.89,7
0xb2da404b,50001.0,2
0xb2d16bc2,390010.05,7
0xb2d28e86,86114.04,5
0xb2d37424,51.29,1
0xb2d8d4d0,772303.9,6
0xb2d8d4d3,81086.07,1
0xb2d16be0,215910.42,2
0xb2d754ca,16998.41,1
0xb2d1cd36,338223.83,9
0xb2d1a8c1,1100009.71,6
0xb2d3ad3c,28486.4,2
0xb2d9e2af,50000.53,2
0xb2d9a5a7,502486.88,3
0xb2d8d4e5,12.87,1
0xb2d1a8ca,230276.49,3
0xb2d39ab2,210440.6,4
0xb2d39abe,282487.23,5
0xb2d39abb,674327.41,8
0xb2d43568,400098.6,2
0xb2d3d3e2,152059.3,3
0xb2d2b4d2,3633.05,1
0xb2d3d3bb,301209.35,3
0xb2d34f79,422743.47,2
0xb2d0b1a4,9956.12,2
0xb2d37613,51.75,1
0xb2d9bada,600000.0,4
0xb2d1710e,644382.76,7
0xb2d6bcb1,244761.49,4
0xb2d10f85,0.0,3
0xb2d45a2b,210145.82,3
0xb2d1711a,1011.06,1
0xb2d6384b,585190.97,3
0xb2d10f9d,3807.57,1
0xb2d6bc9c,320013.98,3
0xb2d97f01,125.08,1
0xb2d22e95,2527.48,1
0xb2d0b1c5,720071.7,4
0xb2d22eb0,2022.16,1
0xb2d10f5e,530036.4,5
0xb2d375d4,467.36,1
0xb2d10f76,1190944.18,13
0xb2d6bcc0,3317396.25,5
0xb2d6bcc6,42477.26,1
0xb2d29024,100000.0,2
0xb2d25346,5124904.27,12
0xb2d2edf3,204726.32,3
0xb2d8c38a,20000.21,2
0xb2d578f3,1496599.94,11
0xb2d16d03,1907707.27,12
0xb2d8c37e,16617.93,1
0xb2d5d69e,509851.41,3
0xb2d16cfa,319687.8,14
0xb2d8c384,280004.44,2
0xb2d92132,238027.42,2
0xb2d22ed1,2618688.21,11
0xb2d2ede4,17902.4,1
0xb2d1aa02,951083.32,8
0xb2d8c393,20000.21,2
0xb2d34f91,10656.56,2
0xb2d170ba,80510.12,3
0xb2d170c3,586005.94,6
0xb2d92156,3.15,1
0xb2d1a9f3,124870.22,2
0xb2d16cd3,350059.4,2
0xb2d170cc,486979.66,4
0xb2d14c3f,5202.19,2
0xb2d10f43,380004.38,9
0xb2d10f52,1066230.69,4
0xb2d92141,65.51,1
0xb2d29069,7577.31,1
0xb2d6bce7,15445.85,1
0xb2d65d41,389035.12,2
0xb2d1a9e1,264922.86,6
0xb2d2b4d5,12497.65,1
0xb2d3f89f,511902.2,2
0xb2d51725,515078.88,3
0x3b9b242d,272498.19,6
0xb2d9bb22,1177.31,1
0xb2d8fc72,500004.29,3
0xb2d65d53,400735.79,3
0xb2d2538e,593982.93,15
0xb2d51737,614024.5,15
0xb2d34fdc,87867.67,1
0xb2d3f881,679034.16,4
0xb2d39ae5,1070948.34,4
0xb2d1cea4,110478.02,2
0xb2d9210b,28683.49,1
0xb2d9210e,707.59,1
0xb2d65d83,102069.02,2
0xb2d39ac7,11119.3,1
0xb2d8c375,760017.35,6
0xb2d170ff,814313.51,5
0xb2d51719,262.55,1
0xb2d95a17,162.16,1
0xb2d8fc87,360761.67,4
0xb2d43550,58505.9,1
0xb2d8c36c,105004.17,5
0xb2d4f11e,166049.99,5
0xb2d517c4,652.49,1
0xb2d39b36,3075358.17,3
0xb2d6bc75,710243.0,2
0xb2d49382,360040.64,2
0xb2d08cd5,1502.81,4
0xb2d45a8b,399700.38,4
0xb2d08cc6,1914.85,1
0xb2d3d40c,582776.23,5
0xb2d4f175,1102057.22,6
0xb2d97eaa,462019.32,4
0xb2d10f1c,255004.52,3
0xb2d59e22,126005.9,4
0xb2d5fbd9,101793.44,2
0xb2d10f1f,1045047.6,4
0xb2d4f178,7507.82,1
0xb2d638cf,375080.68,17
0xb2d37676,310376.63,3
0xb2d0b162,191068.93,3
0xb2d14c18,40002.77,2
0xb2d1a9cf,410440.43,3
0xb2d6f92f,40000.42,2
0xb2d4f160,82002.15,5
0xb2d3d3fa,443323.64,6
0xb2d10f25,1036002.97,5
0xb2d16cc7,5874.1,1
0xb2d1a9ae,701405.93,3
0xb2d5fbc1,170113.17,2
0xb2d5fbc4,20066.5,2
0xb2d45aac,76639.95,2
0xb2d25391,62437.26,2
0xb2d0ea83,516079.23,2
0xb2d59df8,2058422.63,5
0xb2d0ea86,302612.17,2
0xb2d253a9,100141.71,2
0xb2da3d90,3000.0,2
0xb2d59e13,200025.66,2
0xb2d0ea8f,166027.98,6
0xb2d5d722,980.07,1
0xb2d14825,1503665.23,6
0xb2d53c57,1330879.45,10
0xb2d1706f,787445.8,4
0xb2d1ce0e,3198.91,2
0xb2d5796b,350236.47,3
0xb2d53c54,454025.97,3
0xb2d16c85,50043.46,2
0xb2d57965,440190.69,6
0xb2d959cf,3771.5,1
0xb2d59def,50039.66,2
0xb2d59de6,249005.79,3
0xb2d959c9,37002.06,3
0xb2d959db,500026.35,3
0xb2d16c9d,214356.37,2
0xb2d920ab,410000.72,3
0xb2d1a990,530073.73,6
0xb2d10ec5,120098.04,2
0xb2d57947,195008.99,6
0xb2d1a972,700393.45,5
0xb2d2b55f,189713.83,8
0xb2d51ba2,228256.67,6
0xb2d253d9,177044.91,5
0xb2d53c3f,1669000.63,34
0xb2d14bc7,8228.01,1
0xb2d10eda,551513.91,6
0xb2d16c7c,181631.64,3
0xb2d5d6cb,51739.95,2
0xb2d5795c,477760.94,3
0xb2d97e6e,512067.21,4
0xb2d53c51,100875.84,4
0xb2d10ee0,100032.69,3
0xb2d6bc7e,203687.59,2
0xb2d31322,20003.98,2
0xb2d435a1,51128.62,2
0xb2d51b8a,478.98,1
0xb2d57932,101565.99,1
0xb2d435ad,1004.98,1
0xb2d959c6,18683.91,1
0xb2d16cb2,1595855.3,9
0xb2d1ce2f,54463.15,5
0xb2d51b54,7.58,1
0xb2d39b3c,202132.19,2
0xb2d3133d,267.08,1
0xb2d39b48,6792.25,1
0xb2d49358,2.56,1
0xb2d959a8,30316.83,2
0xb2d83c7e,275859.18,2
0xb2d3119f,16760.12,2
0xb2d37553,960572.72,5
0xb2d31196,1003837.5,2
0xb2d2b409,862.24,1
0xb2d31190,8.97,1
0xb2d11030,1850247.54,6
0xb2d37562,17000.0,1
0xb2d1102d,1351.35,1
0xb2d3118a,70254.73,6
0xb2d6bbf7,2.12,1
0xb2d37541,2674207.24,7
0xb2d3d2d4,270105.99,3
0xb2d2ed12,460.28,1
0xb2d4348a,2028239.92,3
0xb2d43493,1230791.44,19
0xb2da3dc9,2929800.0,15
0xb2d6379a,93401.12,2
0xb2d3d2d1,340000.0,7
0xb2d075a7,210531.4,6
0xb2d63791,290013.32,2
0xb2d0759b,331857.79,8
0xb2d075a1,191672.99,6
0xb2d6378b,1130765.08,6
0xb2d34e95,145579.8,2
0xb2d311a8,30880.08,2
0xb2d434ba,478.63,1
0xb2d63773,688190.63,5
0xb2d49265,400999.28,3
0xb2d97e2c,600019.0,2
0xb2d16e1a,1040397.13,7
0xb2d63764,681794.04,5
0xb2d97e23,503197.78,3
0xb2d97e1a,501199.53,3
0xb2d6375b,231412.86,4
0xb2d6f8ae,350823.43,3
0xb2d0d766,721.27,2
0xb2d63755,100021.25,3
0xb2d97e0e,1.15,3
0xb2d0d71b,101781.88,2
0xb2d11051,120066.95,4
0xb2d22dc3,610062.55,3
0xb2d4f03a,3007.81,1
0xb2d4f040,102535.72,3
0xb2d22db7,753721.48,7
0xb2d80372,5447.73,1
0xb2d97e4d,0.0,2
0xb2d6f8e1,100350.8,2
0xb2d5d5ba,1370100.0,7
0xb2d6f8e7,480000.05,2
0xb2d6bbd6,91676.25,1
0xb2d171c8,1050.54,17
0xb2d6bbd9,702330.1,4
0xb2d5d5cc,68160.36,1
0xb2d5b136,46.49,2
0xb2d92036,290060.56,4
0xb2d4efe0,147870.17,12
0xb2d8fbd6,77005.47,3
0xb2d51a6d,249.64,1
0xb2d5d5b4,19972.74,1
0xb2d8fbbb,330044.23,3
0xb2d612a1,30003.55,2
0xb2d8fbbe,600000.0,2
0xb2d1cf5e,37.52,1
0xb2d61298,108121.28,5
0xb2d57815,150797.05,4
0xb2d22df9,1348347.77,5
0xb2d5536a,120274.72,4
0xb2d6f91d,1.9,1
0xb2d95993,50127.21,2
0xb2d1f4d8,1122.19,1
0xb2d97e0b,34.2,1
0xb2d28f8b,5103.95,1
0xb2d171b9,948182.29,14
0xb2d51a40,310373.8,3
0xb2d2ed1e,1921.62,1
0xb2d97dff,380012.03,2
0xb2d16dc0,1019698.78,4
0xb2d55370,21048.96,1
0xb2d51a49,6389202.88,2
0xb2d577f4,30852.47,2
0xb2d51674,100002.14,2
0xb2d5b118,723169.29,18
0xb2d1f4fc,465674.39,11
0xb2d1cf2e,1215086.38,5
0xb2d1cf34,1226171.26,5
0xb2d28f7c,213659.8,3
0xb2d1cf37,947.76,1
0xb2d9205d,320048.96,2
0xb2d5b112,1112059.62,7
0xb2d252a4,202466.51,3
0xb2d4f5a4,150094.78,3
0xb2d8fb82,508885.21,2
0xb2d2b427,400362.29,2
0xb2d252b9,133945.14,3
0xb2d51a1f,1451210.28,3
0xb2d28faf,147161.3,5
0xb2d5b0e5,523123.83,2
0xb2d2b40c,4105.24,1
0xb2d2b454,1112.52,1
0xb2d4f595,1019416.52,16
0xb2d6bb9d,1002.79,1
0xb2d3d36a,296005.37,8
0xb2d434f6,5735.27,1
0xb2d434f3,250003.76,4
0x3b9b3720,468000.0,7
0xb2d311f6,84015.58,3
0xb2d3d34f,0.0,1
0xb2d10fcd,231167.27,4
0xb2d6bb8b,714.66,1
0xb2d3d355,111975.43,2
0xb2d3d352,100008.88,2
0xb2d49295,559412.23,6
0x3b9b370b,4314.99,2
0xb2d4351d,8075.37,1
0xb2d63803,450008.09,4
0xb2d31220,7985.04,1
0xb2d16da2,205774.81,2
0xb2d16d9c,407271.41,4
0xb2d6bb4c,800433.82,6
0xb2d637e2,134510.62,2
0xb2d11009,1887.26,1
0xb2d637c7,110083.13,3
0xb2d637c4,50001.6,2
0xb2d10fdf,1094101.88,6
0xb2d637bb,267946.17,5
0xb2d4f09a,922352.45,9
0xb2d16d8d,816025.22,15
0xb2d22e47,32102.86,2
0xb2d696fb,33749.6,1
0xb2d9bc33,500010.56,2
0xb2d22e68,702932.36,7
0xb2d1f523,4002.58,1
0xb2d958ee,200001.26,2
0xb2d57878,453760.79,5
0xb2d1714a,470796.86,4
0xb2d252e0,360726.48,2
0xb2d28fc4,10393.8,1
0xb2d958d6,1006438.03,3
0xb2d9bc42,250005.28,2
0xb2d22e71,44518.76,1
0xb2d28fd3,2.78,1
0xb2d1ced7,150039.96,7
0xb2d16d4e,966710.24,6
0xb2d17144,114615.14,2
0xb2d17126,131099.59,4
0xb2d28feb,268418.32,5
0xb2d516ec,6010.56,1
0xb2d9bc12,280716.85,6
0xb2d28ffd,41.86,1
0xb2d2b499,100012.39,2
0xb2d34f4c,5638.57,1
0xb2d9e0e1,2600.87,1
0xb2d29015,10032.57,1
0xb2d29018,120005.99,6
0xb2d2532b,123110.14,2
0xb2d2b48a,42444.12,1
0xb2d2b4c0,57247.27,4
0xb2d39a64,54106.89,2
0x3b9b375c,35974.26,6
0xb2d9bc51,70001.16,3
0xb2d8fb1c,201165.11,2
0x3b9b3747,694676.39,4
0xb2d2b4b7,640976.68,7
0xb2d34f46,9732.55,1
0x3b9b3744,1095274.49,8
0xb2d1729d,1392.99,1
0xb2d11114,44295.58,2
0xb2d0d7f0,562726.99,4
0xb2d1112f,607591.14,4
0xb2d16ece,300026.7,2
0xb2d1112c,151178.71,3
0xb2d0765e,160062.52,5
0xb2d744aa,8002.28,1
0xb2d0d805,210200.94,4
0xb2d17297,966839.25,7
0xb2d0b357,671948.24,14
0xb2d11135,203162.92,5
0xb2d0b351,2014222.76,5
0xb2d3fa07,24509.22,1
0xb2d3fa0a,532729.69,8
0xb2d4b96e,82255.52,4
0xb2d45bd8,340033.15,2
0xb2d11105,170032.63,2
0xb2d1f71e,19151.47,1
0xb2d6e2f4,20001.42,2
0xb2d135d7,180133.13,4
0xb2d39c38,65007.67,2
0xb2d39c35,4938.97,1
0xb2d1975a,401450.14,2
0xb2d1f748,1551.44,1
0xb2d9a78d,600101.33,1
0xb2d9a793,960067.53,5
0xb2d135e6,217029.99,6
0xb2d16ee0,200035.03,2
0xb2d135a1,488454.84,3
0xb2d1d05d,500011.72,4
0xb2d16ed4,1042914.72,8
0xb2d2b679,10.1,1
0xb2d172b2,480000.0,2
0xb2d16ef2,383069.15,7
0xb2d9a769,20039.39,2
0xb2d21bde,23978.66,1
0xb2d0d832,116192.6,6
0xb2d59f36,409591.65,6
0xb2d8e9cd,60170.4,2
0xb2d2799e,5560762.81,10
0xb2da0958,220000.0,2
0xb2d9cc4a,150003.17,2
0xb2d98096,820990.55,3
0xb2d2b688,1309077.55,5
0xb2d5fcc9,100063.39,2
0xb2d2b694,2582316.87,4
0xb2d5fcd2,26848.23,1
0xb2d6beac,5738.11,1
0xb2d94766,120003.4,4
0xb2d639d7,48751.31,2
0xb2d53d98,31811.43,3
0xb2d685a0,925.98,1
0xb2d54173,110004.69,2
0xb2d5fcb1,665653.7,6
0xb2d639cb,65128.37,3
0xb2d9a79c,30010.45,1
0xb2d59f2a,1022.55,1
0xb2d94787,100092.11,2
0xb2d59f27,600000.0,4
0xb2d6becd,401228.8,3
0xb2d94799,1570014.42,4
0xb2d2b6be,10016.95,1
0xb2d94790,500018.12,4
0xb2d1d021,401520.51,4
0xb2d9a7ae,200720.85,2
0xb2d639a7,610268.71,5
0xb2d639ad,0.0,1
0xb2d57a88,115127.8,3
0xb2d5d827,100050.91,2
0xb2d53d7a,120007.28,4
0xb2d9804e,540023.54,3
0xb2d8e59e,5008.24,1
0xb2d922be,219.77,1
0xb2d5d830,74866.93,1
0xb2d59f03,250660.64,7
0xb2d33917,107231.53,7
0xb2d279d4,431101.87,3
0xb2d8e5b0,110096.74,1
0xb2d922af,1800038.03,3
0xb2d922ac,200842.67,2
0xb2d5d815,170049.71,3
0xb2d57a8b,2415537.84,7
0xb2d2db3f,249329.63,14
0xb2d2db45,110685.29,2
0xb2d3146f,5462.32,1
0xb2d57a5b,3886.77,1
0xb2d0b34e,50605.79,3
0xb2d8e9a3,499.87,1
0xb2d8e5c2,210094.25,2
0xb2d57a4c,1269449.68,5
0xb2da6706,500094.79,1
0xb2d9cc50,501776.32,2
0xb2d53d59,10383.67,2
0xb2d9806c,30010.33,2
0xb2da0961,46.23,1
0xb2d9cc6b,50001.06,2
0xb2d53d62,800048.07,3
0xb2d6be7f,22771.42,1
0xb2d8e9b2,40112.73,3
0xb2d57a5e,490241.92,3
0xb2d98066,2.34,2
0xb2d6be82,806646.86,7
0xb2d45c2c,890287.74,3
0xb2d7444d,1600521.24,7
0xb2d41f2d,3323804.94,4
0xb2d110b1,2477828.21,5
0xb2d0d790,371789.99,1
0xb2d3fa7f,7232.11,1
0xb2d3c14c,1423.35,1
0xb2d9228b,220000.5,3
0xb2d3c14f,304870.49,4
0xb2d8c4ec,2319.06,1
0xb2d41f48,203051.76,4
0xb2d0b321,58523.06,2
0xb2d33935,823.49,1
0xb2d07619,724011.78,9
0xb2d74465,100.35,1
0xb2d39cc8,3006432.05,5
0xb2d74462,500000.0,2
0xb2d4b9fe,587.03,2
0xb2d8c4f8,143492.09,1
0xb2d3fa58,525051.65,6
0xb2d2554a,710117.33,18
0xb2d21c1a,130565.25,2
0xb2d1f7a2,832989.91,2
0xb2d9a7e7,400031.34,3
0xb2d19313,549065.7,7
0xb2d196e8,50000.0,2
0xb2d39ca1,197.65,3
0xb2d17264,488854.83,10
0xb2d17261,40.43,1
0xb2d0d7db,8088.34,1
0xb2d1357a,380009.28,6
0xb2d6be01,830210.05,2
0xb2d0d7d8,402863.05,3
0xb2d9a80b,50000.53,2
0xb2d25553,540297.5,11
0xb2d480ef,190000.0,2
0xb2d1724f,853067.03,5
0xb2d9a7c6,60000.63,2
0xb2d16e68,910003.37,7
0xb2d110d5,2332.63,2
0xb2d16e62,366005.12,7
0xb2d17258,530025.16,8
0xb2d2b6f1,1454.78,1
0xb2d110e1,602362.84,5
0xb2d5fd71,801632.21,6
0xb2d17237,113369.02,3
0xb2d1723a,389603.28,5
0xb2d0d7a8,862899.36,3
0xb2d6e297,3103986.84,5
0xb2d0d7ae,554389.27,11
0xb2d4dea3,601774.76,6
