cust_no,label
0xb2d8dd2f,1
0xb2d535d7,1
0xb2d51bbb,1
0xb2d599ad,0
0xb2d6810d,-1
0xb2d95ac1,1
0xb2d184d9,1
0xb2d0deed,-1
0xb2d0f1b4,1
0xb2d61621,1
0xb2d970eb,1
0xb2d86855,-1
0xb2d9461c,1
0x3b9ada99,1
0xb2d96e16,1
0x3b9ada67,1
0xb2d6dc1d,1
0xb2d28fc4,0
0xb2d20157,1
0xb2d3e783,1
0x3b9b0e52,1
0xb2d5b303,1
0xb2d185d5,0
0xb2d3ffbc,1
0xb2d0b2b1,1
0xb2d19533,1
0x3b9b0f49,1
0xb2d95d15,-1
0xb2d906ca,1
0xb2d5112a,1
0xb2d69f29,-1
0xb2d535f7,1
0xb2d6f9b0,1
0xb2d24581,1
0xb2d1a20b,1
0xb2d1a496,-1
0xb2d10242,1
0xb2d286ad,1
0xb2d8015d,1
0xb2d16d43,1
0xb2d904bf,1
0xb2d436b0,1
0xb2d88191,1
0xb2d8ce7b,1
0xb2d5f83c,1
0xb2d5c932,1
0xb2d41aac,1
0xb2d48e78,0
0xb2d6ce54,0
0xb2d6a268,-1
0xb2d651fe,0
0xb2d5f648,-1
0xb2d6c0c8,0
0xb2d3fc7e,1
0xb2d62568,1
0xb2d39efd,0
0xb2d557ca,1
0xb2d4e6ea,1
0xb2d3567c,1
0xb2d68257,0
0xb2d56e63,0
0xb2d93f3a,1
0xb2d4fc0f,1
0xb2d4fe1f,1
0xb2d52c96,1
0xb2d6c816,1
0xb2d558f9,-1
0xb2d24501,1
0xb2d44232,1
0xb2d1a96e,1
0xb2d6fc40,0
0xb2d5e003,0
0xb2d3fa57,1
0xb2d94a5d,1
0xb2d345b3,1
0xb2d25f22,-1
0xb2d50d27,1
0xb2d912f3,-1
0xb2d7c3dd,1
0xb2d90144,1
0xb2d85bb5,0
0xb2d2bc39,1
0xb2d2d316,1
0xb2d6fed1,-1
0xb2d7c3f9,-1
0xb2d6d5d3,-1
0xb2d3001a,-1
0xb2d1b91a,0
0xb2d610e5,0
0xb2d1d98b,0
0xb2d7fb79,0
0xb2d69970,1
0xb2d10763,-1
0xb2d0f161,1
0xb2d5cfba,1
0xb2d2d78e,-1
0xb2d59a56,1
0xb2d43565,1
0xb2d4282d,0
0xb2d2f633,-1
0xb2d1a1c2,0
0xb2d5c7ed,0
0xb2d10b87,1
0xb2d5d5e9,-1
0xb2d5d487,1
0xb2d8f1fd,1
0xb2d0de49,1
0xb2d5cc92,0
0xb2d5cf9e,0
0xb2d5d229,-1
0xb2d5cef0,1
0xb2d6ebc9,1
0xb2d915fb,1
0xb2d5dcd1,1
0xb2d635a0,-1
0xb2d625b6,1
0xb2d25157,1
0xb2d51081,1
0xb2d11ea4,1
0xb2d570f3,1
0xb2d53491,0
0xb2d26261,1
0xb2d3b13e,1
0xb2d52bd1,-1
0xb2d0fbed,-1
0xb2d2ffab,-1
0xb2d49350,0
0xb2d483ed,0
0xb2d43673,1
0xb2d5aec3,-1
0xb2d4bc9c,-1
0xb2d38bbe,1
0xb2d3c4b0,1
0xb2d54f1c,-1
0xb2d23179,-1
0xb2d36832,1
0xb2d18ac4,1
0xb2d2bac0,1
0xb2d2d332,1
0xb2d5e0a7,-1
0xb2d17802,1
0xb2d316a8,1
0xb2d22e19,-1
0xb2d39d57,-1
0xb2d22292,1
0xb2d4263e,1
0xb2d6e1db,1
0xb2d397cc,1
0xb2d4586b,1
0xb2d107c3,0
0xb2d8264d,1
0xb2d6e268,-1
0xb2d5f223,1
0xb2d16822,-1
0xb2d7c17a,-1
0xb2d1d25a,1
0xb2d2e5f4,1
0xb2d52c31,-1
0xb2d41054,1
0xb2d60954,1
0xb2d390cd,0
0xb2d2b0b1,0
0xb2d63ae4,0
0xb2d2fe93,-1
0xb2d23608,1
0xb2d2225f,1
0xb2d537f5,1
0xb2d68ba6,-1
0xb2d0d8ec,1
0x3b9af12d,1
0x3b9b45a5,1
0x3b9af2cb,1
0xb2d405a7,0
0x3b9af5bc,1
0x3b9b3e25,1
0x3b9b4605,0
0xb2d405c8,-1
0x3b9b1276,1
0xb2d17136,0
0x3b9af2c6,1
0xb2d405c3,0
0x3b9b2647,0
0xb2d2328c,1
0x3b9af104,-1
0x3b9af245,1
0x3b9b1825,1
0xb2d6d419,1
0xb2d30ea9,1
0xb2d40cab,1
0x3b9b1874,0
0xb2d1791a,0
0x3b9ae469,1
0x3b9acf2d,1
0x3b9b468b,1
0x3b9add82,1
0x3b9b12bf,1
0x3b9b34f7,0
0xb2d2b53a,-1
0xb2d09a03,-1
0x3b9b45d7,1
0xb2d09c61,0
0xb2d13b28,1
0xb2d54200,1
0xb2d57206,0
0xb2d4841f,1
0xb2d47c6d,-1
0xb2d29f22,1
0xb2d2eadd,1
0xb2d39c0d,0
0xb2d2361a,1
0xb2d27e7a,0
0xb2d35e49,-1
0xb2d51de2,1
0xb2d3fddf,1
0xb2d42ba3,1
0xb2d9018d,-1
0xb2d5fbc4,0
0xb2d67eb9,0
0xb2d65af5,0
0xb2d8fdbc,1
0xb2d6a7d2,1
0xb2d6b24c,1
0xb2d65b43,1
0xb2d6c843,1
0xb2d5bae8,1
0xb2d5df06,1
0xb2d5c55c,1
0xb2d64041,1
0xb2d60768,0
0xb2d9641e,1
0xb2d60c8e,0
0xb2d905b6,1
0xb2d78994,0
0xb2d94864,1
0xb2d5dd1f,0
0xb2d8f585,-1
0xb2d0f87b,1
0xb2d6c0e4,1
0xb2d61e3d,1
0xb2d12ea4,1
0xb2d0c112,0
0xb2d0c859,1
0xb2d0cde4,1
0xb2d17c90,-1
0xb2d4261d,1
0xb2d23792,1
0xb2d43a42,1
0xb2d50db4,1
0xb2d41284,1
0xb2d59410,1
0xb2d29659,1
0xb2d58786,1
0xb2d61b54,1
0x3b9b1013,1
0xb2d716fe,1
0xb2d202b8,1
0xb2d790d0,1
0xb2d95fd9,1
0xb2d6e418,1
0xb2d6b4c0,1
0xb2d68686,0
0xb2d78bdd,1
0xb2d6d891,1
0xb2d95992,1
0xb2d1bb0e,1
0xb2d23d34,1
0xb2d523bb,-1
0xb2d91c4a,-1
0xb2d5b8c1,-1
0xb2d26bd8,0
0xb2d5345e,1
0xb2d29723,0
0xb2d308ac,1
0xb2d68ee0,1
0xb2d266b3,1
0xb2d18034,1
0xb2d067ff,1
0xb2d94408,-1
0xb2d8ca84,1
0xb2d8db4d,-1
0xb2d5e358,1
0xb2d5e5b6,1
0xb2d6ad0f,0
0xb2d5d2af,0
0xb2d589e9,-1
0xb2d5c5a5,1
0xb2d60595,1
0xb2d40d5e,1
0xb2d8ea7e,-1
0xb2d618c9,1
0xb2d13506,1
0xb2d68782,1
0xb2d5d3d9,1
0xb2d5d0b1,1
0xb2d9569c,1
0xb2d83b56,-1
0xb2d6b610,1
0xb2d48060,1
0xb2d64c98,1
0x3b9b2c92,1
0xb2d361d1,1
0xb2d29a18,1
0xb2d35efc,1
0xb2d34816,-1
0xb2d62407,1
0xb2d52cc4,1
0xb2d23141,0
0xb2d2019b,1
0xb2d3a0b2,0
0xb2d8f86d,1
0xb2d56351,-1
0xb2d3790b,1
0xb2d6b0e5,-1
0xb2d23b1a,1
0xb2d0fb88,-1
0xb2d24561,1
0xb2d57a98,0
0xb2d1d67f,0
0xb2d5d0c3,1
0xb2d6bf79,1
0xb2d18147,1
0xb2d30948,1
0xb2d396b4,-1
0xb2d243e4,0
0xb2d201d8,1
0xb2d0b145,1
0xb2d36f8a,1
0xb2d165fc,1
0xb2d5177a,1
0xb2d2a217,0
0xb2d2444e,1
0xb2d9020e,-1
0xb2d3342d,1
0x3b9b183c,1
0xb2d46e35,0
0xb2d66a25,0
0xb2d0759b,1
0xb2d1da3e,0
0xb2d68dfb,0
0xb2d3ac22,1
0xb2d20bfa,1
0xb2d5ee32,1
0xb2d3e601,1
0xb2d0e3ca,0
0xb2d108fc,1
0xb2d2a15f,0
0xb2d094dd,1
0xb2d21b01,-1
0xb2d3af8f,0
0xb2d62d1b,-1
0xb2d2e14f,1
0xb2d6bbda,1
0xb2d39096,1
0xb2d908b6,1
0xb2d61750,1
0xb2d43537,0
0xb2d434ce,1
0xb2d16f3c,-1
0xb2d51f43,1
0xb2d4de8a,1
0xb2d073d5,0
0xb2d3e440,1
0xb2d42472,-1
0xb2d089a4,1
0xb2d2d5e3,-1
0x3b9b3ddc,1
0xb2d16463,1
0xb2d21152,0
0xb2d284e1,1
0xb2d2df51,1
0x3b9ad271,1
0xb2d408e7,1
0xb2d2cf0d,0
0xb2d98310,1
0xb2d12741,1
0x3b9af266,0
0xb2d26019,1
0x3b9b19d5,1
0xb2d233bc,0
0x3b9b3512,1
0xb2d0e3f8,0
0xb2d1253e,-1
0xb2d2fb75,1
0xb2d54e9b,1
0x3b9b47f9,0
0xb2d26390,-1
0xb2d5f06f,-1
0xb2d236df,-1
0xb2d251a0,1
0xb2d38d09,-1
0xb2d22062,0
0xb2d3ad7f,1
0xb2d410eb,1
0xb2d30bb8,1
0xb2d2e0ef,1
0xb2d1fa9d,1
0xb2d59068,0
0xb2d8e73e,1
0xb2d2b61b,0
0xb2d4dbab,1
0xb2d603a9,0
0xb2d5e568,-1
0xb2d5ac21,1
0xb2d2da23,1
0xb2d5e07a,1
0xb2d4bb4c,1
0xb2d8d6c3,1
0xb2d2bb85,1
0xb2d559de,1
0xb2d2df07,1
0xb2d78d27,-1
0xb2d58bf4,-1
0xb2d5992c,0
0xb2d5e54c,1
0xb2d37c7c,1
0xb2d37c61,-1
0xb2d3904d,0
0xb2d37c2e,-1
0xb2d37caf,-1
0xb2d4f334,-1
0xb2d37c17,-1
0xb2d37caa,-1
0xb2d37bfc,-1
0xb2d06d0e,1
0xb2d61d1f,1
0xb2d37c4a,-1
0xb2d0b3c4,0
0xb2d1f04a,1
0xb2d06e05,1
0xb2d37ce1,-1
0xb2d37c66,-1
0xb2d37d14,-1
0xb2d39052,0
0xb2d37c12,1
0xb2d37cc6,-1
0xb2d37c45,-1
0xb2d30524,0
0xb2d3ca9a,0
0xb2d1e9f5,1
0xb2d109af,1
0xb2d3a5fb,0
0xb2d12753,1
0xb2d07dac,1
0xb2d14703,1
0xb2d2fc28,1
0xb2d3db48,1
0xb2d41934,0
0xb2d24cb2,1
0xb2d16edc,-1
0xb2d076cf,1
0xb2d078cd,1
0xb2d8fc5f,1
0xb2d21d3f,1
0xb2d2ebdf,0
0xb2d62605,-1
0xb2d201a0,0
0xb2d30b6f,0
0xb2d6aab1,1
0xb2d75521,-1
0xb2d9265a,0
0xb2d49523,-1
0xb2d94bd5,1
0xb2d4491f,0
0xb2d8d9d5,1
0xb2d91cfe,-1
0xb2d6d28a,0
0xb2d935d3,-1
0xb2d256a1,0
0xb2d4712a,1
0xb2d9147d,1
0xb2d1e13c,0
0xb2d63ebf,1
0xb2d32021,-1
0xb2d593bd,1
0xb2d4af6a,1
0xb2d8925a,-1
0xb2d6328a,0
0xb2d188af,0
0xb2d8694d,-1
0xb2d6156e,-1
0xb2d80420,0
0xb2d64ade,1
0xb2d3eee2,1
0xb2d6a4f9,1
0xb2d38c8d,1
0xb2d36eae,1
0xb2d6233d,1
0xb2d38ca9,1
0xb2d296ac,1
0xb2d4be19,-1
0xb2d8e884,1
0xb2d649fe,1
0xb2d63027,1
0xb2d39558,-1
0xb2d5c557,0
0xb2d6feec,1
0xb2d428e0,0
0xb2d6f922,1
0xb2d2de59,1
0xb2d128da,1
0xb2d61864,1
0xb2d38c92,-1
0xb2d6eb7b,1
0xb2d4ba91,0
0xb2d55adb,0
0xb2d62cba,0
0xb2d900f5,1
0xb2d56942,1
0xb2d6408b,1
0xb2d1aa17,1
0xb2d20c15,1
0xb2d24614,1
0xb2d1cc8b,1
0xb2d643ce,0
0xb2d61bf0,1
0xb2d8e2cc,1
0xb2d3c183,0
0xb2d07557,1
0xb2d066e7,0
0xb2d19c80,1
0xb2d5e3f0,1
0xb2d5cc5f,1
0xb2d370a2,1
0xb2d1af0b,1
0xb2d604c6,0
0xb2d24eef,1
0xb2d5a9be,1
0xb2d56437,1
0xb2d5db8f,1
0xb2d26d67,1
0xb2d40cd9,1
0xb2d53ca2,1
0xb2d41252,1
0xb2d58277,1
0xb2d56ccf,1
0xb2d560a5,0
0xb2d82373,1
0xb2d36332,1
0xb2d3ed9c,1
0xb2d8350b,1
0xb2d38343,1
0xb2d69825,1
0xb2d6c213,0
0xb2d4c242,-1
0xb2d643e0,-1
0xb2d568a5,1
0xb2d66532,1
0xb2d3bc2f,1
0xb2d694b4,1
0xb2d386b9,1
0xb2d756d0,-1
0xb2d68ac1,1
0xb2d36514,0
0xb2d3c757,1
0xb2d4f168,1
0xb2d3e66b,0
0xb2d61a18,1
0xb2d321cc,1
0xb2d2a831,-1
0xb2d7c0e8,0
0xb2d33230,1
0xb2d6d9c4,0
0xb2d10f74,1
0xb2d2bf17,0
0xb2d3162c,0
0xb2d62f46,1
0xb2d210bb,0
0xb2d40951,0
0xb2d210e8,1
0xb2d28ba0,0
0xb2d5291b,1
0xb2d26f98,0
0xb2d28f5a,1
0xb2d90697,-1
0xb2d433e8,1
0xb2d75650,1
0xb2d23b52,0
0xb2d34f46,1
0xb2d2b8f5,0
0xb2d2ead8,1
0xb2d40ec0,1
0xb2d24d17,0
0xb2d4a640,-1
0xb2d193b6,1
0xb2d3fef7,-1
0xb2d235d1,1
0xb2d65247,-1
0xb2d276e4,-1
0xb2d224d4,-1
0xb2d2e219,1
0xb2d1af38,1
0xb2d23914,1
0xb2d8dd34,-1
0xb2d48044,0
0xb2d16bf8,-1
0xb2d4426a,1
0xb2d6f231,1
0xb2d0bd69,0
0xb2d43a3d,1
0xb2d5c5bc,1
0xb2d63dc8,1
0xb2d43a9d,-1
0xb2d5f562,1
0xb2d69fd8,1
0xb2d1f2d5,1
0xb2d6e4f9,-1
0xb2d1c1fb,1
0xb2d43a53,1
0xb2d43a65,1
0xb2d0cd48,0
0xb2d0c6ca,1
0xb2d5eb25,0
0xb2d10060,1
0xb2d1d893,-1
0xb2d0fee3,1
0xb2d69f5b,-1
0xb2d29e58,1
0xb2d43214,0
0xb2d982fa,-1
0xb2d50603,0
0xb2d29b4c,0
0xb2d785f1,1
0xb2d69648,0
0xb2d16cbd,0
0xb2d1e335,0
0xb2d928d3,1
0xb2d5eece,1
0xb2d209d2,1
0xb2d12ab2,1
0xb2d5be0b,0
0xb2d9198c,1
0xb2d30612,1
0xb2d6d0c8,0
0xb2d6f4b0,0
0xb2d2a50d,0
0xb2d24c48,0
0xb2d6b391,1
0xb2d254fb,1
0xb2d19861,1
0xb2d2ba29,0
0xb2d17f32,-1
0xb2d1a404,0
0xb2d42ccd,1
0xb2d19c97,1
0x3b9ae266,0
0x3b9b37e7,1
0x3b9b31b8,1
0xb2d24856,0
0xb2d301ed,-1
0xb2d5aec8,-1
0xb2d2573d,1
0xb2d621f7,-1
0xb2d90278,-1
0xb2d91224,0
0xb2d6edbe,0
0xb2d8ce1b,-1
0xb2d277f7,1
0xb2d283ea,1
0xb2d623bd,0
0xb2d3acba,1
0xb2d58f82,1
0xb2d956b8,1
0xb2d90273,1
0xb2d97939,1
0xb2d5747b,-1
0xb2d6b064,1
0xb2d8d251,-1
0xb2d32f03,1
0xb2d31406,1
0xb2d68a29,1
0xb2d3f600,1
0xb2d96870,1
0xb2d4e3f9,1
0xb2d6eec0,0
0xb2d5d991,1
0xb2d6452b,1
0xb2d484e4,1
0xb2d28223,-1
0xb2d691d6,0
0xb2d6ea1a,1
0xb2d8d51e,1
0xb2d9709d,-1
0xb2d8d110,1
0xb2d63305,1
0xb2d8d02a,1
0xb2d6e4c6,0
0xb2d6e78e,1
0xb2d9184c,1
0xb2d6f199,1
0xb2d6e296,-1
0xb2d60a9a,1
0xb2d6bb43,1
0xb2d60a9f,-1
0xb2d60a7e,1
0xb2d60c5b,-1
0xb2d60acc,-1
0xb2d38283,0
0xb2d3829f,0
0xb2d223bc,0
0xb2d54eee,1
0xb2d5ca4a,1
0xb2d95757,1
0xb2d95fdd,1
0xb2d465b9,1
0xb2d36122,0
0xb2d4fd11,-1
0xb2d5bbe4,1
0xb2d60ef1,0
0xb2d39666,1
0xb2d69b6e,1
0xb2d527da,-1
0xb2d6be54,0
0xb2d56c9c,1
0xb2d4d1a1,1
0xb2d4684a,1
0xb2d55502,1
0xb2d37256,0
0xb2d24cad,1
0xb2d512f6,1
0xb2d47270,1
0xb2d2bdff,0
0xb2d648bd,0
0xb2d8fa78,-1
0xb2d31b7b,-1
0xb2d32e6b,0
0xb2d5ebbd,1
0xb2d56eb1,1
0xb2d8f755,1
0xb2d23389,1
0xb2d9845b,1
0xb2d6abad,1
0xb2d2145e,1
0xb2d57395,0
0xb2d69494,1
0xb2d616e6,1
0xb2d179cd,0
0xb2d5ea40,1
0xb2d6b3f1,1
0xb2d1678b,0
0xb2d7c1ad,1
0xb2d24be3,0
0xb2d1b03a,1
0xb2d28405,1
0x3b9b2ef5,1
0xb2d5a6c8,1
0xb2d36d31,1
0xb2d65978,0
0xb2d35d47,1
0xb2d4bac4,0
0xb2d26915,1
0xb2d2df6c,1
0xb2d683d9,1
0xb2d5aa35,0
0xb2d60234,1
0xb2d51033,1
0xb2d3ca1a,1
0x3b9ae040,1
0xb2d421c6,-1
0xb2d6857f,1
0xb2d5f6e4,1
0xb2d5c22f,1
0xb2d5752e,0
0xb2d8ebc9,1
0xb2d6eb80,1
0xb2d802f6,0
0xb2d5e9db,1
0xb2d68428,1
0xb2d5726b,0
0xb2d74317,1
0xb2d386e7,1
0xb2d63773,1
0xb2d2f063,0
0xb2d41c8a,1
0xb2d65586,1
0xb2d95cd0,1
0xb2d90f93,1
0xb2d55f5f,1
0xb2d17a9c,0
0xb2d31df5,1
0x3b9b4370,1
0xb2d2c4af,1
0xb2d1a9ef,1
0xb2d9015a,1
0xb2d5355b,-1
0xb2d6c6fe,-1
0xb2d56330,0
0xb2d0c5b2,1
0xb2d4dc10,-1
0xb2d53523,0
0xb2d535f2,0
0xb2d697aa,-1
0xb2d62d84,1
0xb2d53592,0
0xb2d6c6e2,1
0xb2d573ac,-1
0xb2d475ae,1
0xb2d24040,0
0xb2d20df8,0
0xb2d2b685,-1
0xb2d91745,1
0xb2d0a520,0
0xb2d4b04a,-1
0xb2d0ee55,-1
0xb2d354fe,0
0xb2d10328,1
0xb2d2b470,1
0xb2d8d417,1
0xb2d457d4,1
0xb2d5a1b9,-1
0xb2d1f800,0
0xb2d4aa2d,0
0xb2d1e684,-1
0xb2d6b182,0
0xb2d11d31,1
0xb2d1f83a,-1
0xb2d2926c,-1
0xb2d8ebdf,1
0xb2d5293c,0
0xb2d38c44,1
0xb2d91611,0
0xb2d93fff,1
0xb2d93363,1
0xb2d7ff5f,0
0xb2d973db,1
0xb2d8e1e1,1
0xb2d40c2b,-1
0xb2d4dacb,1
0xb2d4663a,1
0xb2d29b79,-1
0xb2d39fab,1
0xb2d391b3,-1
0xb2d8a9ea,-1
0xb2d24b9a,1
0xb2d281ec,0
0xb2d46f36,-1
0xb2d55f43,1
0xb2d63144,1
0xb2d5fbad,1
0xb2d6362d,0
0xb2d6d725,1
0xb2d6947d,1
0xb2d2c67f,1
0xb2d65a5e,1
0xb2d612b5,1
0xb2d61e0a,0
0xb2d6a8eb,1
0xb2d956e0,1
0xb2d6e5b1,0
0xb2d6a171,-1
0x3b9b4911,1
0xb2d2cbb2,1
0xb2d0a79f,1
0xb2d5c771,-1
0xb2d13a48,-1
0xb2d33a13,-1
0xb2d076fd,1
0xb2d1711a,1
0xb2d65d3c,0
0xb2d31d3d,-1
0xb2d6b3c4,-1
0xb2d1cb25,1
0xb2d2a04c,1
0xb2d095c8,-1
0x3b9b3d6d,1
0xb2d09e5a,1
0xb2d41372,1
0xb2d5578d,1
0xb2d56057,1
0xb2d0acc1,1
0xb2d1a8f2,1
0xb2d303cf,0
0xb2d0d6c5,0
0xb2d219e4,1
0xb2d303bd,0
0xb2d627f9,-1
0xb2d62ab8,1
0xb2d0d462,1
0xb2d54931,1
0xb2d16984,1
0xb2d1b8d1,1
0xb2d3731b,1
0xb2d0b4a0,0
0xb2d91649,0
0xb2d36d4c,1
0xb2d27ad6,-1
0xb2d27d61,-1
0xb2d239de,0
0xb2d48383,0
0xb2d23012,0
0xb2d1c169,1
0xb2d68b0a,1
0xb2d619b3,1
0xb2d4a5f2,1
0xb2d26dcc,1
0xb2d06348,1
0xb2d7789e,1
0xb2d2f6af,1
0xb2d4d0a0,1
0xb2d6a0d4,1
0xb2d68eb3,1
0xb2d233a0,0
0xb2d8c455,1
0xb2d5ba83,1
0xb2d3119e,1
0xb2d3f1f3,1
0xb2d4cb7f,1
0xb2d4408c,-1
0xb2d240c1,1
0xb2d41066,0
0xb2d40fd3,-1
0xb2d405da,-1
0xb2d40a1b,0
0xb2d298a0,1
0xb2d40ef2,1
0xb2d35ae9,1
0xb2d2cd4b,1
0xb2d61cd1,1
0xb2d2480d,0
0xb2d298b6,1
0xb2d298d2,1
0xb2d5bad1,1
0xb2d3f5fb,-1
0xb2d36337,1
0xb2d1dfc9,1
0xb2d6c82d,0
0xb2d11a32,-1
0xb2d0ef03,1
0xb2d717b1,1
0xb2d136a4,1
0xb2d6bc6d,0
0xb2d1cdb0,1
0xb2d6b8ea,0
0xb2d717ac,1
0xb2d64b80,-1
0xb2d8c3bd,-1
0xb2d65820,1
0xb2d78cd9,-1
0xb2d5675b,1
0xb2d0f3c4,1
0xb2d97021,1
0xb2d81cfa,0
0xb2d25f01,0
0xb2d06cc5,0
0xb2d45329,1
0xb2d28b4d,1
0xb2d1fd60,1
0xb2d221df,0
0xb2d22f5f,-1
0xb2d0f1cb,1
0xb2d27f7b,1
0xb2d2e186,1
0xb2d212e6,1
0x3b9b3299,1
0xb2d21334,1
0xb2d1bcac,-1
0xb2d298e4,1
0x3b9b0f32,1
0xb2d18845,0
0xb2d08139,0
0xb2d43242,1
0xb2d65607,1
0xb2d0852c,0
0xb2d43275,0
0xb2d0d13a,1
0xb2d8225a,-1
0xb2d34aef,-1
0xb2d6026c,1
0xb2d3ffef,0
0xb2d1199a,0
0xb2d451e3,1
0xb2d68e80,1
0xb2d479d3,1
0xb2d5729e,1
0xb2d3bb81,-1
0xb2d3adc8,1
0xb2d52a38,-1
0xb2d3f9d6,-1
0xb2d58f34,1
0xb2d93299,1
0xb2d59669,1
0xb2d9600b,1
0xb2d63531,1
0xb2d6457e,1
0xb2d5ea8e,1
0xb2d5a975,1
0xb2d5824f,0
0xb2d90e80,1
0xb2d70445,1
0x3b9b286e,1
0xb2d0e441,1
0xb2d2be1b,1
0xb2d2f4ba,1
0xb2d5a163,0
0xb2d63b65,1
0xb2d0798d,-1
0xb2d5ebd4,1
0xb2d28f8d,1
0x3b9b3dee,1
0xb2d6403d,1
0xb2d5d1c4,0
0xb2d6b6a2,1
0xb2d3b1d1,0
